id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,438542273,5.8583,0.3386,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
wikipedia.org,2,0,33660732,1.8296,0.6387,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
20min.ch,3,1,28374165,1.5041,0.7409,https://static.semrush.com/power-pages/media/favicons/20min-ch-favicon-1f812d37.png,20 Minuten
blick.ch,4,-1,25485731,1.3721,0.7795,,
instagram.com,5,0,20396189,1.9532,0.6936,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
twitter.com,6,0,14851351,2.4314,0.6804,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
watson.ch,7,0,13278460,2.5914,0.4361,,
bluewin.ch,8,0,8775196,2.9239,0.2772,,
rts.ch,9,0,8003056,2.0116,0.5683,,
lematin.ch,10,4,4161262,1.4678,0.7677,,
bild.de,11,-1,3796081,2.8471,0.3798,https://static.semrush.com/power-pages/media/favicons/bild-de-favicon-91724b11.png,BILD
imdb.com,12,1,3199776,3.1788,0.4967,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png,IMDB
tagesanzeiger.ch,13,-2,2531250,1.3691,0.7842,,
marca.com,14,10,2176976,2.5403,0.376,https://static.semrush.com/power-pages/media/favicons/marca-com-favicon-f2625cd3.png,MARCA
lemonde.fr,15,10,1975728,1.7803,0.6024,https://static.semrush.com/power-pages/media/favicons/lemonde-fr-favicon-3dc6490a.png,Le Monde
nau.ch,16,-1,1962151,1.324,0.7878,,
nzz.ch,17,-1,1953486,1.4659,0.7983,,
corriere.it,18,-1,1952222,3.6111,0.3362,https://static.semrush.com/power-pages/media/favicons/corriere-it-favicon-5f736b9e.png,Corriere.it
lequipe.fr,19,7,1892228,6.0859,0.6686,https://static.semrush.com/power-pages/media/favicons/lequipe-fr-favicon-87916997.png,L'Equipe
letemps.ch,20,9,1883808,1.652,0.6706,,
