id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
agoda.com,1,0,7583712,3.5206,0.4454,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
booking.com,2,0,6301772,3.6706,0.3749,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
traveloka.com,3,0,2279615,1.7749,0.7755,https://static.semrush.com/power-pages/media/favicons/traveloka-com-favicon-aee127cd.ico,Traveloka
renthub.in.th,4,2,820481,2.8141,0.3944,,
chillpainai.com,5,-1,746320,1.2363,0.8139,,
expedia.co.th,6,-1,699392,2.9535,0.4403,,
lkpattaya.com,7,2,586938,7.7341,0.1825,,
hungryhub.com,8,5,538298,2.0019,0.7692,,
marriott.com,9,-2,537847,1.9512,0.7505,https://static.semrush.com/power-pages/media/favicons/marriott-com-favicon-ae4adb29.png,Marriott
hopinnhotel.com,10,0,524527,1.2881,0.7688,,
hotels.com,11,3,340669,2.6966,0.6856,,
tourismthailand.org,12,-1,321810,1.066,0.964,,
bangkokair.com,13,7,306361,3.0092,0.482,,
tokyodisneyresort.jp,14,0,258317,3.0397,0.2968,,
ebookers.com,15,0,235270,1.3571,0.7143,,
cloudbeds.com,16,0,228104,1.4017,0.8453,,
siteminder.com,17,0,226727,5.5021,0.1456,,
bkkmenu.com,18,0,220456,1.3949,0.8441,,
travelclick.com,19,0,215187,1.4125,0.7471,,
soidb.com,20,10,208734,3.122,0.4168,,
