id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
shopee.co.th,1,1,87447425,2.5569,0.6172,https://static.semrush.com/power-pages/media/favicons/shopee-co-th-favicon-c5618c85.ico,Shopee Thailand
lazada.co.th,2,-1,84727732,2.5624,0.6035,https://static.semrush.com/power-pages/media/favicons/lazada-co-th-favicon-01aa976b.ico,Lazada Thailand
mtlnovel.com,3,1,13286719,9.5563,0.3442,,
samsung.com,4,-1,12122242,2.2241,0.667,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
khaosod.co.th,5,0,10084302,1.5588,0.7532,,
siamphone.com,6,2,8276724,2.7053,0.6082,,
advice.co.th,7,-1,7160754,3.327,0.5128,,
aliexpress.com,8,-1,6213381,2.6055,0.6842,,AliExpress
homepro.co.th,9,1,4317228,2.9629,0.6118,,
jib.co.th,10,1,3547909,2.9172,0.6364,,
bnn.in.th,11,-2,3384890,1.3274,0.8249,,
bigc.co.th,12,1,2816426,1.5987,0.7762,,
thaiwatsadu.com,13,6,2748663,1.9163,0.6882,,Thai Watsadu
ebay.com,14,0,2738051,3.7232,0.5472,https://static.semrush.com/power-pages/media/favicons/ebay-com-favicon-67c7209c.png,eBay
kaidee.com,15,1,2467655,1.8595,0.7041,,Kaidee
mercular.com,16,-4,2438931,1.2857,0.8404,,
lnwshop.com,17,0,2338842,1.611,0.7726,,
central.co.th,18,4,2261536,1.8399,0.6502,,
nike.com,19,5,2233920,2.2544,0.607,https://static.semrush.com/power-pages/media/favicons/nike-com-favicon-5224fe86.png,Nike
my-best.com,20,-5,2080045,1.126,0.8988,https://static.semrush.com/power-pages/media/favicons/my-best-com-favicon-b700bb92.png,mybest Japan
