id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
jobsdb.com,1,0,3165921,3.1822,0.5585,,Jobs DB
indeed.com,2,1,1943619,2.7047,0.5431,https://static.semrush.com/power-pages/media/favicons/indeed-com-favicon-121a0618.ico,
16personalities.com,3,-1,1089776,2.3076,0.5893,,
hrnote.asia,4,2,245251,1.0827,0.9369,,
jooble.org,5,4,114092,2.1776,0.1729,https://static.semrush.com/power-pages/media/favicons/jooble-org-favicon-7abfd684.png,Jooble
seek.com.au,6,4,93085,1.9364,0.8451,https://static.semrush.com/power-pages/media/favicons/www-seek-com-au-favicon-85cc3322.png,SEEK
bamboohr.com,7,-2,91264,2.4682,0.6052,,
reeracoen.co.th,8,12,83301,2.2686,0.7866,,
smartrecruiters.com,9,15,58502,2.0658,0.4059,,
workable.com,10,17,41716,1.8166,0.4224,,
iq-test.cc,11,1,39233,23.1899,0.1482,,
resume.io,12,0,37062,2.2723,0.2332,,
adecco.co.th,13,-5,35410,1.8785,0.6535,,
appcast.io,14,0,29808,1.0,1.0,,
jobstreet.com.my,15,0,28405,1.34,0.8416,,JobStreet
prtr.com,16,0,27519,3.6702,0.4648,,
workday.com,17,0,26727,1.2161,0.8564,,
totaljobs.com,18,0,25738,1.0482,0.9639,,
rgf-hragent.asia,19,-15,24867,1.0514,0.9486,,
sdworx.com,20,0,24808,8.0,0.0,,
