id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
qualtrics.com,1,2,459660,1.0262,0.9765,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
alchemer.com,2,2,360665,1.7467,0.5251,https://static.semrush.com/power-pages/media/favicons/alchemer-com-favicon-5317c31e.png,Alchemer
ssisurveys.com,3,-1,262485,2.3493,0.2924,,
surveymonkey.com,4,-3,257329,1.8899,0.652,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
cint.com,5,0,127503,2.0733,0.3212,https://static.semrush.com/power-pages/media/favicons/cint-com-favicon-4d4d06c0.png,Cint
theoremreach.com,6,0,101971,1.2371,0.796,,
gfk.com,7,0,80937,1.0,1.0,,
lifepointspanel.com,8,-1,68715,4.4056,0.0986,,
nielseniq.com,9,0,59135,3.339,0.5841,,
questionpro.com,10,11,34615,1.0829,0.9261,,
researchonmobile.com,11,0,33610,1.5,0.5,,
decipherinc.com,12,1,33453,3.7623,0.8424,,
tolunastart.com,13,-3,31421,2.7103,0.7994,,
cloudresearch.com,14,-6,29747,1.0208,0.9896,,
dynata.com,15,9,15307,9.2623,0.7924,,Dynata
researchnow.com,16,4,13261,1.0234,0.9766,,
confirmit.com,17,0,9575,3.7122,0.0581,,
mintel.com,18,0,7485,7.3419,0.5806,,
mordorintelligence.com,19,7,6979,1.1335,0.9554,,
globaldata.com,20,3,5771,1.1378,0.9402,,
