id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
robinhood.in.th,1,0,1026139,3.1598,0.7189,,
foodpanda.co.th,2,0,694788,2.0677,0.7446,,
kfcvisit.com,3,1,523852,8.2101,0.3075,,
1112.com,4,-1,504202,2.3307,0.5523,,
mcdonalds.co.th,5,1,400584,1.9697,0.7682,,
minorfood.com,6,9,279565,10.1829,0.2229,,
1112delivery.com,7,0,193636,2.1663,0.5919,,
datumprikker.nl,8,0,75044,1.6942,0.6612,,
mcdonalds.com.gt,9,0,67220,2.75,0.0,,
lbb-r.com,10,0,50415,3.0,0.6667,,
takeaway.com,11,-2,50415,2.6667,0.3333,https://static.semrush.com/power-pages/media/favicons/takeaway-com-favicon-035295b7.ico,Takeaway.com
peasandcrayons.com,12,0,49616,1.0,1.0,,
rappi.com.mx,13,0,49616,5.0,0.5,,
mcdonalds.fr,14,-4,33920,10.9086,0.0091,,
pizzahut.com.tw,15,0,33610,1.5,0.5,,
pluckers.com,16,0,33610,1.0,1.0,,
delicious.com.au,17,-1,30893,1.0514,0.9486,,
burgerking.co.th,18,-13,29673,2.1293,0.1842,,
dominos.com,19,0,29194,1.0212,0.9894,,Domino's
bonchonthailand.com,20,0,28646,1.0546,0.9783,,
