id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
ais.co.th,1,0,18061619,1.7985,0.64,,Advanced Info Service
samsung.com,2,1,12122242,2.2241,0.667,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
dtac.co.th,3,-1,11711584,3.471,0.5726,,dtac
ais.th,4,0,11679616,1.7599,0.6948,,
siamphone.com,5,0,8276724,2.7053,0.6082,,
fast.com,6,0,5105241,1.4537,0.7868,https://static.semrush.com/power-pages/media/favicons/fast-com-favicon-bbdb943e.png,
trueinternet.co.th,7,3,2623670,1.6489,0.6231,,
truecorp.co.th,8,0,2511075,1.669,0.643,,
3bb.co.th,9,-2,2374546,2.7243,0.5018,,
huawei.com,10,4,1734951,1.7794,0.6321,https://static.semrush.com/power-pages/media/favicons/huawei-com-favicon-1082d335.png,Huawei
speedtest.net,11,-2,1646842,1.8336,0.5139,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
oppo.com,12,0,1416191,2.0425,0.6517,,Oppo
gsmarena.com,13,2,1261372,3.1828,0.5928,https://static.semrush.com/power-pages/media/favicons/gsmarena-com-favicon-3c06be64.ico,GSMArena
thaimobilecenter.com,14,3,1258149,1.2718,0.9184,,
lg.com,15,-4,1203145,2.0319,0.6016,https://static.semrush.com/power-pages/media/favicons/lg-com-favicon-07d6731d.png,LG
ntplc.co.th,16,2,1132926,4.1358,0.4722,,
free.fr,17,7,994076,6.0075,0.1032,https://static.semrush.com/power-pages/media/favicons/free-fr-favicon-46d6d495.png,Free Mobile
vivo.com,18,0,844871,1.7109,0.6793,,VIVO
iphone-droid.net,19,3,830777,1.1935,0.8968,,
realme.com,20,10,751209,1.3106,0.762,,RealMe
