id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
bangkokpost.com,1,0,2602605,2.3968,0.5765,,BangkokPost
one2car.com,2,1,2095323,2.8093,0.5279,,One2Car
headlightmag.com,3,3,1631252,1.5525,0.7859,,HeadLight Magazine
kia.com,4,0,1547251,1.8343,0.6755,,Kia Motors
mitsubishi-motors.co.th,5,-1,1270143,1.5343,0.7854,,
chobrod.com,6,8,1222194,2.2706,0.5964,,
checkraka.com,7,2,1186245,2.86,0.6853,,
autospinn.com,8,-3,1139413,1.3469,0.9003,,
honda.co.th,9,-2,1044758,1.7925,0.6474,,
ford.co.th,10,3,1025082,2.1519,0.6944,,
isuzu-tis.com,11,-9,1009657,2.7845,0.6724,,
mazda.co.th,12,4,886047,2.2529,0.6641,,
yamaha-motor.co.th,13,-2,846286,3.6806,0.6233,,
formula1.com,14,12,844000,2.0144,0.5964,https://static.semrush.com/power-pages/media/favicons/www-formula1-com-favicon-8af4e915.png,Formula 1
roojai.com,15,-7,831521,1.4367,0.6893,,Roojai.com
autofun.co.th,16,2,726085,1.5834,0.596,,
taladrod.com,17,-5,598917,7.3,0.3117,,
gpblog.com,18,0,574422,1.8216,0.5239,https://static.semrush.com/power-pages/media/favicons/gpblog-com-favicon-7d515c9f.png,GPblog
9carthai.com,19,-2,536288,1.3783,0.6819,,
planetf1.com,20,0,497129,1.2994,0.8004,,Planet F1
