id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,3726365308,5.5264,0.3445,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
google.com,2,0,3325412549,3.3185,0.4176,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
eksisozluk.com,3,7,263833651,7.0798,0.2601,,Ekşi Sözlük
twitter.com,4,0,262857138,2.035,0.6824,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
instagram.com,5,0,224310582,2.3334,0.6715,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
facebook.com,6,0,189647522,2.3033,0.6252,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
trendyol.com,7,1,160403266,3.3575,0.5818,https://static.semrush.com/power-pages/media/favicons/trendyol-com-favicon-d739e4c4.ico,Trendyol
turkiye.gov.tr,8,-1,156421154,4.2583,0.37,https://static.semrush.com/power-pages/media/favicons/turkiye-gov-tr-favicon-758401c0.png,
sahibinden.com,9,0,142026574,7.7283,0.3526,,
hurriyet.com.tr,10,3,133937898,2.1812,0.5602,https://static.semrush.com/power-pages/media/favicons/hurriyet-com-tr-favicon-f9ba3523.png,Hurriyet
mynet.com,11,7,117525943,4.2714,0.3183,https://static.semrush.com/power-pages/media/favicons/mynet-com-favicon-53964d57.png,Mynet
wikipedia.org,12,2,109756853,1.8673,0.6714,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
google.com.tr,13,2,101139860,3.7954,0.3091,,Google Turkey
ensonhaber.com,14,8,100582767,2.5688,0.3883,https://static.semrush.com/power-pages/media/favicons/ensonhaber-com-favicon-520712a4.ico,Ensonhaber
hepsiburada.com,15,4,98479186,2.8221,0.5994,https://static.semrush.com/power-pages/media/favicons/hepsiburada-com-favicon-25b5e109.png,Hepsiburada
haberler.com,16,1,95604260,3.0624,0.3355,https://static.semrush.com/power-pages/media/favicons/haberler-com-favicon-567b10e3.png,Haberler.com
haber7.com,17,4,92875283,2.8619,0.2915,https://static.semrush.com/power-pages/media/favicons/haber7-com-favicon-a64c92af.png,Haber 7
memurlar.net,18,6,86078177,3.3985,0.3599,https://static.semrush.com/power-pages/media/favicons/memurlar-net-favicon-963d290b.png,Memurlar
whatsapp.com,19,1,82183937,1.4132,0.7912,,WhatsApp
haberturk.com,20,9,75920878,3.0951,0.364,https://static.semrush.com/power-pages/media/favicons/haberturk-com-favicon-c49d4b86.ico,Haberturk
