id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
tureng.com,1,0,10126924,4.0488,0.4081,,
eba.gov.tr,2,0,8412100,3.4604,0.4193,https://static.semrush.com/power-pages/media/favicons/eba-gov-tr-favicon-62dfff47.ico,
eodev.com,3,1,7269980,1.4881,0.7514,,
evvelcevap.com,4,10,5449334,3.9794,0.4672,,
udemy.com,5,-2,4765604,3.5969,0.4476,https://static.semrush.com/power-pages/media/favicons/udemy-com-favicon-21d92c84.png,Udemy
basarisiralamalari.com,6,4,3814689,3.08,0.7258,,
stackoverflow.com,7,-1,3534179,1.3311,0.8254,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
kitapsec.com,8,4,3221433,4.6118,0.6731,,
wordwall.net,9,0,2292835,2.4406,0.4775,,Wordwall
cambridge.org,10,-5,2250943,3.3463,0.4925,https://static.semrush.com/power-pages/media/favicons/cambridge-org-favicon-3787ba24.ico,Cambridge
dilbilgisi.net,11,0,2137175,3.7005,0.3728,,
grammarly.com,12,0,2005077,1.7152,0.6054,https://static.semrush.com/power-pages/media/favicons/grammarly-com-favicon-8bcab69b.png,Grammarly
quizlet.com,13,9,1822964,5.6087,0.3362,,Quizlet
seslisozluk.net,14,2,1676712,2.3397,0.7108,,
lyricstranslate.com,15,2,1654159,1.2373,0.8518,,
wordreference.com,16,-5,1410663,7.9923,0.2856,https://static.semrush.com/power-pages/media/favicons/wordreference-com-favicon-91adcbae.png,WordReference.com
duolingo.com,17,-10,1390120,1.9039,0.6728,https://static.semrush.com/power-pages/media/favicons/duolingo-com-favicon-bcce2029.ico,Duolingo
morpakampus.com,18,-3,1121067,5.8574,0.2127,,
kunduz.com,19,0,1012408,1.4241,0.76,,
w3schools.com,20,4,1008971,2.9147,0.6287,,W3Schools
