id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
trendyol.com,1,0,160403266,3.3575,0.5818,https://static.semrush.com/power-pages/media/favicons/trendyol-com-favicon-d739e4c4.ico,Trendyol
hepsiburada.com,2,0,98479186,2.8221,0.5994,https://static.semrush.com/power-pages/media/favicons/hepsiburada-com-favicon-25b5e109.png,Hepsiburada
akakce.com,3,1,72678159,2.1563,0.5363,,Akakce.com
amazon.com.tr,4,-1,59416670,3.6428,0.5493,,
sikayetvar.com,5,0,41783772,2.4,0.4758,,Sikayetvar
n11.com,6,0,32528750,3.169,0.6304,,N11.com
epey.com,7,0,30463903,2.7687,0.536,,
cimri.com,8,0,29225413,2.1095,0.5339,,Cimri
ciceksepeti.com,9,2,17806546,3.5015,0.558,https://static.semrush.com/power-pages/media/favicons/www-ciceksepeti-com-favicon-610fb231.png,CicekSepeti
aliexpress.com,10,-1,14826116,3.0354,0.6074,,AliExpress
vatanbilgisayar.com,11,3,13902112,3.4402,0.5131,,Vatan Bilgisayar
mediamarkt.com.tr,12,3,13676697,2.199,0.579,,
a101.com.tr,13,4,12669734,2.0659,0.5586,,
teknosa.com,14,2,12380355,2.2494,0.6638,,
turkcell.com.tr,15,-2,12065391,2.5079,0.5446,,
pttavm.com,16,-4,11547182,1.3976,0.7768,,
suslusozluk.com,17,0,11461121,4.0832,0.3684,,
koctas.com.tr,18,1,10350196,2.7412,0.617,,
samsung.com,19,-9,10337176,2.0663,0.6656,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
migros.com.tr,20,-2,10287629,1.6628,0.7521,,
