id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
netflix.com,1,0,31569921,2.3296,0.5105,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico,Netflix
dailymotion.com,2,1,21563843,1.2254,0.8519,,Dailymotion
dizigom1.com,3,-1,20590971,2.0914,0.5391,,
spotify.com,4,1,11809813,2.5285,0.5039,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
wattpad.com,5,1,10852361,3.7751,0.4113,,Wattpad
webdramaturkey.com,6,-2,10463656,3.1189,0.4108,,
bing.com,7,1,7802804,3.5882,0.4494,,Bing
msn.com,8,1,5874387,2.1212,0.6425,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico,MSN
primevideo.com,9,2,5218354,2.1064,0.5816,https://static.semrush.com/power-pages/media/favicons/primevideo-com-favicon-7e8458b9.png,Prime Video
riotgames.com,10,4,4166330,2.056,0.5601,,Riot Games
webnovel.com,11,-4,3762094,2.8777,0.6172,,
rezka.ag,12,10,3683517,6.295,0.4365,,
disneyplus.com,13,4,3051594,2.8756,0.4416,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png,Disney Plus
justwatch.com,14,4,2812622,1.2195,0.8149,https://static.semrush.com/power-pages/media/favicons/www-justwatch-com-favicon-f8c7c1f9.ico,JustWatch
koreanturk.com,15,0,2642765,2.3338,0.4799,,
genius.com,16,5,2367336,1.7356,0.7549,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
mydramalist.com,17,-4,2293245,3.9915,0.3852,https://static.semrush.com/power-pages/media/favicons/mydramalist-com-favicon-25e516fc.png,My Drama List
anizle.com,18,2,2173489,2.3781,0.5219,,
change.org,19,0,2129113,1.8831,0.5682,,Change.org
mubi.com,20,10,1634579,1.5882,0.7891,,MUBI
