id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
investing.com,1,1,46530972,2.7916,0.4732,https://static.semrush.com/power-pages/media/favicons/investing-com-favicon-dcdc244b.png,
doviz.com,2,-1,24934454,2.0078,0.6198,https://static.semrush.com/power-pages/media/favicons/doviz-com-favicon-1f26d085.ico,Döviz
ziraatbank.com.tr,3,3,22150117,3.8109,0.5182,,
bloomberght.com,4,0,19893835,1.9243,0.5831,,
bkm.com.tr,5,-2,19300465,1.1685,0.8695,,
tradingview.com,6,2,13295122,2.0698,0.5781,https://static.semrush.com/power-pages/media/favicons/tradingview-com-favicon-5ce990e1.png,TradingView
yapikredi.com.tr,7,3,12919389,1.531,0.6769,,
vakifbank.com.tr,8,3,12561989,1.5392,0.7542,,
yahoo.com,9,-2,11140082,2.2529,0.5595,,Yahoo
foreks.com,10,5,10422477,2.4174,0.5782,,
garantibbva.com.tr,11,-2,9708036,4.2267,0.2682,,
canlidoviz.com,12,1,8455933,2.0512,0.6019,,
binance.com,13,-8,8132068,2.4984,0.5979,https://static.semrush.com/power-pages/media/favicons/binance-com-favicon-43365839.ico,Binance
akbank.com,14,-2,7620001,1.6766,0.6734,,
coinmarketcap.com,15,-1,6248238,1.9219,0.6347,https://static.semrush.com/power-pages/media/favicons/coinmarketcap-com-favicon-e687767a.png,CoinMarketCap
qnbfinansbank.com,16,0,5113865,1.9766,0.6357,,
enpara.com,17,0,3942341,2.0043,0.6608,,
ziraatyatirim.com.tr,18,0,3625771,4.6296,0.4397,,
garantibbvayatirim.com.tr,19,-1,3488597,1.2464,0.8243,,
denizbank.com,20,4,3440592,1.3649,0.773,,
