id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
duckduckgo.com,1,0,6877938,2.3555,0.5238,https://static.semrush.com/power-pages/media/favicons/duckduckgo-com-favicon-6a39c9fc.png,DuckDuckGo
yemek.com,2,0,5388011,1.3515,0.7737,https://static.semrush.com/power-pages/media/favicons/yemek-com-favicon-f64c27fb.jpg,Yemek
sokmarket.com.tr,3,0,3663556,1.3579,0.7687,,
lezzet.com.tr,4,0,2333424,2.26,0.7188,,
kofteciyusuf.com,5,0,1762183,3.1867,0.5127,,
cagri.com,6,0,1437237,2.2483,0.4252,,
diyetkolik.com,7,6,1257498,1.9803,0.803,,
bizimtoptan.com.tr,8,3,1155384,5.5793,0.4555,,
tiklagelsin.com,9,5,942645,2.0929,0.584,,
profsaracoglu.com,10,11,805548,1.7683,0.7982,,
mopas.com.tr,11,11,679985,2.2485,0.8234,,
dijital.menu,12,-3,630255,2.7823,0.3498,,
dominos.com.tr,13,-1,613820,4.063,0.3967,,
ye-mek.net,14,-7,608033,1.2637,0.7967,,
hakmarexpress.com.tr,15,-7,425962,1.2699,0.836,,
ardaninmutfagi.com,16,8,381105,1.2231,0.8518,,
kahvedunyasi.com,17,-2,345979,1.2872,0.736,,
macrocenter.com.tr,18,12,333746,1.0915,0.9439,,
russianfood.com,19,0,299811,1.4487,0.7124,,
makbul.com,20,0,295212,3.1095,0.2653,,
