id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
saglik.gov.tr,1,0,23739179,3.0328,0.4591,,Ministry of Health Turkey
memorial.com.tr,2,0,16881081,1.2156,0.8422,,
kadinlarkulubu.com,3,4,15672370,5.6615,0.2762,,
medicalpark.com.tr,4,-1,7633269,1.4552,0.8564,https://static.semrush.com/power-pages/media/favicons/www-medicalpark-com-tr-favicon-7f996147.png,Medical Park Hospitals Group
acibadem.com.tr,5,-1,6515649,1.591,0.8595,,
doktortakvimi.com,6,2,4492702,1.6334,0.7337,,
medicana.com.tr,7,-2,4450361,1.4579,0.8263,,
haber3.com,8,11,3656146,2.6458,0.5046,,
annelertoplandik.com,9,-3,3369458,12.8633,0.1912,,
tgrthaber.com.tr,10,1,3140125,2.1252,0.5729,,
medimagazin.com.tr,11,1,2775374,1.5776,0.679,,
florence.com.tr,12,-2,2690124,1.2954,0.7717,,
nih.gov,13,-4,2507428,1.8914,0.7461,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
doktorsitesi.com,14,-1,1679587,1.5512,0.6371,,
npistanbul.com,15,12,1446582,1.0597,0.9512,,
wikihow.com.tr,16,8,1123879,1.3193,0.76,,
healthline.com,17,5,990847,1.1694,0.8653,,Healthline Media
anadolusaglik.org,18,3,936555,1.0544,0.9704,,
livhospital.com,19,10,922889,1.2915,0.7967,,
vitaminler.com,20,-3,883156,2.9153,0.5123,,
