id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
ziraatbank.com.tr,1,1,22150117,3.8109,0.5182,,
hangikredi.com,2,-1,16570982,1.6361,0.6692,,
sgk.gov.tr,3,0,6495398,4.2199,0.4317,,
halkbank.com.tr,4,0,5967775,2.093,0.7098,,
hesapkurdu.com,5,0,5734167,1.1819,0.8568,,
sigortam.net,6,2,4197093,1.3612,0.762,,
egm.gov.tr,7,-1,2630831,6.4976,0.3172,,
allianz.com.tr,8,1,2175958,1.9825,0.6131,,
hmb.gov.tr,9,-2,2092891,5.7395,0.4005,,
anadoluhayat.com.tr,10,1,1700782,3.2269,0.4679,,
sbm.org.tr,11,-1,1165485,6.8978,0.4282,,
turkiyesigorta.com.tr,12,2,778248,3.6474,0.4523,,
anadolusigorta.com.tr,13,-1,766939,3.4371,0.5802,,
garantibbvaemeklilik.com.tr,14,3,689213,1.8167,0.5871,,
axasigorta.com.tr,15,-2,585994,2.1813,0.7096,,
vakifkatilim.com.tr,16,10,571551,2.1267,0.5876,,
dask.gov.tr,17,3,558044,1.4984,0.6679,,
generali.com.tr,18,5,540607,3.5184,0.6653,,
somposigorta.com.tr,19,11,429060,2.9607,0.414,,
tsb.org.tr,20,-5,403371,1.4579,0.7899,,
