id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,3726365308,5.5264,0.3445,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
twitter.com,2,0,262857138,2.035,0.6824,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
instagram.com,3,0,224310582,2.3334,0.6715,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
wikipedia.org,4,0,109756853,1.8673,0.6714,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
sondakika.com,5,0,68073776,2.7859,0.3287,https://static.semrush.com/power-pages/media/favicons/sondakika-com-favicon-e1d992c2.png,Son Dakika
diyanet.gov.tr,6,2,37320449,1.9377,0.7175,https://static.semrush.com/power-pages/media/favicons/diyanet-gov-tr-favicon-8a04935d.ico,
yenicaggazetesi.com.tr,7,0,36540275,4.543,0.3506,,
odatv4.com,8,-2,32750405,2.5166,0.4249,,
karar.com,9,1,21251685,2.8807,0.3814,,
imdb.com,10,-1,18735976,2.8476,0.5103,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png,IMDB
star.com.tr,11,4,10837543,2.6392,0.3917,,
aa.com.tr,12,1,8655435,1.3869,0.8802,,
bbc.com,13,-1,7370859,1.8026,0.6705,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg,BBC
euronews.com,14,2,5030236,1.5027,0.7141,,
brstej.com,15,-4,3959268,4.1597,0.3228,,
haber3.com,16,0,3656146,2.6458,0.5046,,
sudoku.com,17,0,3641316,2.4625,0.6333,,
manisakulishaber.com,18,0,3459133,2.0087,0.3051,,
gazetevatan.com,19,-1,3439025,1.8028,0.5888,,
rudaw.net,20,-3,3271649,1.9698,0.554,,
