id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
emlakjet.com,1,0,5648748,2.9191,0.473,,
airbnb.com.tr,2,0,1703547,3.0501,0.5239,,
emlakmuzayede.com.tr,3,6,771573,1.3022,0.8424,,
zingat.com,4,0,746089,2.0831,0.6659,,
remax.com.tr,5,-2,720498,3.4353,0.4639,,
immobilienscout24.de,6,1,417389,3.5363,0.4252,https://static.semrush.com/power-pages/media/favicons/immobilienscout24-de-favicon-ff8875aa.ico,ImmobilienScout 24
immowelt.de,7,8,360547,4.9135,0.3948,https://static.semrush.com/power-pages/media/favicons/immowelt-de-favicon-cc4b3b5e.png,Immowelt AG
eminevim.com,8,12,282715,1.4908,0.6981,,
rightmove.co.uk,9,0,240745,3.6635,0.2107,https://static.semrush.com/power-pages/media/favicons/rightmove-co-uk-favicon-90d305af.png,RightMove
endeksa.com,10,2,239154,1.349,0.8432,,
zillow.com,11,12,237380,4.3446,0.4561,,Zillow
mitula.com.tr,12,1,235499,1.6205,0.654,,
guncelprojebilgileri.com,13,12,234866,1.3153,0.7869,,
thailand-property.com,14,-9,226001,1.3159,0.9266,,
emlakkonut.com.tr,15,7,215175,1.6843,0.7797,,
alo.bg,16,0,212235,12.0573,0.2109,https://static.semrush.com/power-pages/media/favicons/www-alo-bg-favicon-b9da885d.png,
missafir.com,17,-1,192405,1.1312,0.9488,,
nef.com.tr,18,0,191353,2.2069,0.4508,,
invex.com.tr,19,5,182897,20.2111,0.0458,,
tatilvillam.com,20,1,156907,2.5271,0.5477,,
