id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
mngkargo.com.tr,1,0,9786781,1.8472,0.4685,,MNG Cargo
araskargo.com.tr,2,0,7689398,1.3526,0.7819,,Aras Cargo
yurticikargo.com,3,1,5682845,2.2127,0.6196,,Yurtiçi Kargo
suratkargo.com.tr,4,-1,5574392,1.2807,0.8426,,
hepsijet.com,5,0,3961158,1.3046,0.8269,,
ups.com.tr,6,3,1729351,2.5177,0.4021,,
kolaygelsin.com,7,-1,1703565,1.3523,0.7467,,
tcdd.gov.tr,8,0,1620386,2.1361,0.6938,,
kargoist.com,9,-2,1292147,1.6162,0.7182,,
dhl.com,10,6,693781,2.1488,0.5312,,DHL
bukoli.com,11,0,554708,16.7067,0.0812,,
17track.net,12,13,448814,2.6442,0.1626,https://static.semrush.com/power-pages/media/favicons/17track-net-favicon-1b4f9a6e.png,17TRACK
busbud.com,13,0,347129,1.7418,0.5778,https://static.semrush.com/power-pages/media/favicons/www-busbud-com-favicon-bbd92706.ico,Busbud
fedex.com,14,-4,337371,2.5717,0.3676,,FedEx
rayhaber.com,15,-4,300108,1.4675,0.7154,,
birgundekargo.com,16,0,299907,3.899,0.2324,,
rail.cc,17,0,258603,1.5424,0.5174,,
kargoturk.com.tr,18,0,256654,1.3635,0.7065,,
halisoglunakliyat.com,19,-2,250225,1.0478,0.9522,,
shipentegra.com,20,4,244957,11.1725,0.4387,,
