id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sahibinden.com,1,0,142026574,7.7283,0.3526,,
arabam.com,2,0,5232182,2.2721,0.6182,,
toyota.com.tr,3,2,4251600,2.3434,0.5335,,
sigortam.net,4,2,4197093,1.3612,0.762,,
tuvturk.com.tr,5,-1,3109572,2.0786,0.4425,,
renault.com.tr,6,-3,2772590,1.467,0.7433,,
fiat.com.tr,7,2,2615349,1.5695,0.7243,,
hyundai.com,8,4,2220564,3.2299,0.4607,,Hyundai
motorsport.com,9,18,2147209,1.5818,0.7441,https://static.semrush.com/power-pages/media/favicons/www-motorsport-com-favicon-14ace5dd.png,Motorsport.com
honda.com.tr,10,3,2072357,1.4302,0.7006,,
peugeot.com.tr,11,-1,1782628,1.9871,0.5565,,
citroen.com.tr,12,-5,1756180,1.4819,0.7397,,
vava.cars,13,5,1693553,1.7056,0.7708,,
ford.com.tr,14,0,1628972,2.357,0.4549,,
dacia.com.tr,15,2,1622919,1.7451,0.7357,,
motosiklet.net,16,0,1619436,1.6311,0.6568,,
opel.com.tr,17,-9,1508455,1.7852,0.7069,,
ekuralkan.com,18,0,1427841,1.853,0.5772,,
nissan.com.tr,19,6,1400225,1.5772,0.6256,,
log.com.tr,20,1,1391740,1.2211,0.8088,,
