id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
booking.com,1,0,2987769,3.4275,0.491,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
ihg.com,2,3,879680,1.5484,0.7441,,Intercontinental Hotels Group
agoda.com,3,0,736648,3.0193,0.4624,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
marriott.com,4,0,728123,2.0709,0.7047,https://static.semrush.com/power-pages/media/favicons/marriott-com-favicon-ae4adb29.png,Marriott
whatson.ae,5,-3,345957,1.1945,0.8138,,
visitsaudi.com,6,3,318515,2.4883,0.5024,,
wego.ae,7,0,304239,2.2564,0.4161,,
finedinemenu.com,8,9,252460,1.2192,0.9063,,
fivehotelsandresorts.com,9,0,251918,1.2372,0.7772,,
fourseasons.com,10,12,246924,1.2078,0.8381,https://static.semrush.com/power-pages/media/favicons/www-fourseasons-com-favicon-a5079543.ico,Four Seasons Hotels and Resorts
hilton.com,11,2,227051,1.8286,0.6315,,Hilton Worldwide
sevenrooms.com,12,6,207787,1.5068,0.7254,,
catererglobal.com,13,12,198877,7.9285,0.5147,,
accor.com,14,-8,192664,1.7289,0.7595,,
ead.me,15,-3,179086,1.0,1.0,,
hotels.com,16,-1,153173,2.5106,0.6708,,
banyantree.com,17,0,153026,1.1314,0.8714,,
kerzner.com,18,-7,146211,5.489,0.5253,,
goibibo.com,19,9,141259,2.8065,0.3562,,
minorhotels.com,20,0,123890,4.0081,0.2987,,
