id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
office.com,1,1,9435438,1.8842,0.5862,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
microsoftonline.com,2,-1,9029916,2.0341,0.4983,,
zoom.us,3,0,4964314,2.0623,0.5186,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
google.ae,4,1,4078271,2.9123,0.5336,,
live.com,5,1,3677849,2.8862,0.5057,,
tinyurl.com,6,3,2967228,1.5937,0.7668,,
123moviesfree.net,7,-3,2820590,3.1232,0.4405,,
google.co.uk,8,-1,2471226,4.4793,0.2146,,Google UK
outlook.com,9,5,1777177,1.216,0.8161,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
cairo24.com,10,3,1649321,2.2204,0.4833,,
muslima.com,11,4,1603265,3.3564,0.1946,,
moe.gov.ae,12,-4,1234417,2.6608,0.4666,,
google.co.in,13,-3,1228841,3.5103,0.3393,,Google India
gust.edu.kw,14,4,1087060,3.0615,0.4615,,
byjus.com,15,-3,1052952,1.2907,0.805,,BYJU’S
quillbot.com,16,4,1031592,1.6318,0.783,,QuillBot
google.com.pk,17,-1,1022772,4.5994,0.2023,,
quizizz.com,18,0,971687,1.7243,0.6315,https://static.semrush.com/power-pages/media/favicons/quizizz-com-favicon-924b99fb.png,Quizizz
dramacool9.co,19,0,936544,1.1964,0.8393,,
adu.ac.ae,20,0,877252,3.5045,0.4535,,
