id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
shein.com,1,1,1283083,2.4689,0.7111,https://static.semrush.com/power-pages/media/favicons/shein-com-favicon-47ceee2d.png,SHEIN
splashfashions.com,2,-1,1061345,1.5626,0.8108,,
hm.com,3,4,554134,3.3158,0.7334,https://static.semrush.com/power-pages/media/favicons/hm-com-favicon-1732fb0a.png,H&M
namshi.com,4,-1,536442,2.8833,0.5424,,
ajio.com,5,25,386135,5.3782,0.2046,,Ajio
6thstreet.com,6,-2,351161,1.5461,0.7263,,
myntra.com,7,11,342922,2.8787,0.6383,,Myntra
asos.com,8,-3,283432,1.8285,0.6751,,ASOS
zara.com,9,5,280505,2.1021,0.6753,https://static.semrush.com/power-pages/media/favicons/zara-com-favicon-c65ba3c7.png,Zara
meesho.com,10,12,275757,1.852,0.5615,,Meesho
nnnow.com,11,0,254690,6.6275,0.2025,,
americaneagle.ae,12,-2,204337,3.1893,0.4046,,
adidas.ae,13,-2,191336,2.3788,0.4633,,
theluxurycloset.com,14,6,187081,2.2762,0.8149,,
yesstyle.com,15,11,177807,2.1337,0.4944,,YesStyle
massimodutti.com,16,8,177201,1.1578,0.9415,,
doduae.com,17,-9,163398,1.8878,0.8615,,
stylishop.com,18,0,134213,1.0171,0.9956,,
getketch.com,19,0,133792,3.125,0.5,,
ounass.ae,20,-7,121857,3.3574,0.4669,,
