id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
mahzooz.ae,1,0,663621,2.1816,0.7465,,
stake.com,2,15,306777,1.1457,0.8617,,
betika.com,3,9,76707,5.2257,0.7639,,
mega.io,4,1,69249,1.097,0.9261,,
bet365.com,5,0,54561,1.0,1.0,,Bet365
superbet.ro,6,0,52730,2.2165,0.6343,,
1xbet.com,7,0,40736,1.0824,0.9634,,
exchmarket.com,8,0,33608,1.0095,0.9952,,
caesars.com,9,0,33448,1.0,1.0,https://static.semrush.com/power-pages/media/favicons/www-caesars-com-favicon-d16b8701.ico,Caesars Entertainment
emiratesracing.com,10,-7,31631,4.756,0.0589,,
sportinglife.com,11,-3,25250,4.7038,0.769,https://static.semrush.com/power-pages/media/favicons/www-sportinglife-com-favicon-404d4345.png,Sporting Life
betway.com,12,-3,21414,1.4929,0.9337,,
racingpost.com,13,2,21403,3.3995,0.8013,,
ggrasia.com,14,0,19249,1.0,1.0,,
sceducationlottery.com,15,0,19249,1.0,1.0,,
gamdom.com,16,0,17684,1.0362,0.991,,
bc.game,17,0,17250,20.6277,0.1743,,
betus.com.pa,18,-14,16823,9.4228,0.0788,,
pokeratlas.com,19,0,16724,2.0,0.0,,
hollywoodbets.net,20,0,16614,1.2051,0.9231,,
