id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
healthline.com,1,0,1093196,1.202,0.8492,,Healthline Media
mayoclinic.org,2,2,989763,1.3084,0.7946,,Mayo Clinic
mykronos.com,3,0,969443,3.8268,0.1562,,
webteb.com,4,10,697832,1.1692,0.8314,https://static.semrush.com/power-pages/media/favicons/webteb-com-favicon-4979795c.png,WebTeb
damanhealth.ae,5,2,614719,2.6395,0.5636,,
nih.gov,6,-3,582111,1.4301,0.8436,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
webmd.com,7,3,572682,1.3134,0.8528,,WebMD
medicalnewstoday.com,8,5,506854,1.0989,0.9202,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
dha.gov.ae,9,-3,416399,4.3429,0.5506,,
mohap.gov.ae,10,7,409802,2.2886,0.6668,,
google.com.eg,11,4,378322,4.9995,0.2849,,Google Egypt
nmc.ae,12,-7,321270,2.8297,0.3343,,
heart.org,13,-1,302546,2.2116,0.6876,,American Heart Association
who.int,14,0,298508,3.1777,0.5346,https://static.semrush.com/power-pages/media/favicons/who-int-favicon-031d7a3d.ico,World Health Organization
elconsolto.com,15,5,290524,1.802,0.6097,,
seha.ae,16,7,283594,2.4093,0.3576,,
groupon.ae,17,2,260693,2.3382,0.5892,,
www.nhs.uk,18,8,252170,1.3491,0.9049,https://static.semrush.com/power-pages/media/favicons/www-nhs-uk-favicon-43924bfe.png,
kayaskinclinic.com,19,0,224060,1.9936,0.6148,,
clevelandclinic.org,20,-11,214172,1.1047,0.9478,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png,Cleveland Clinic
