id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
spotify.com,1,0,1864984,2.247,0.5442,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
9jarocks.com,2,0,1354804,1.0988,0.9136,,
soundcloud.com,3,0,886760,2.3417,0.5849,https://static.semrush.com/power-pages/media/favicons/soundcloud-com-favicon-cb20269e.ico,SoundCloud
genius.com,4,2,430446,1.2985,0.8565,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
amazon.de,5,7,314496,2.5796,0.7022,https://static.semrush.com/power-pages/media/favicons/amazon-de-favicon-ca6619b8.ico,Mondkalender 2022
ultimate-guitar.com,6,4,235393,1.5366,0.7767,https://static.semrush.com/power-pages/media/favicons/ultimate-guitar-com-favicon-cf8d32b3.png,Ultimate Guitar
fb.me,7,13,173340,1.2369,0.7631,,
jiosaavn.com,8,15,173229,1.2417,0.8758,,
last.fm,9,6,159706,1.7972,0.7266,,
gaana.com,10,8,153035,1.543,0.6051,,
hungama.com,11,19,134192,1.4347,0.7087,,
wynk.in,12,-3,125999,1.4401,0.8149,,
azlyrics.com,13,1,88367,1.1718,0.953,,AZLyrics
shazam.com,14,13,86047,1.4542,0.6896,,
chosic.com,15,0,81164,1.1682,0.9462,,
deezer.com,16,-14,80046,1.5353,0.524,https://static.semrush.com/power-pages/media/favicons/deezer-com-favicon-37ca2d4f.png,Deezer
soothingrelaxation.com,17,0,76996,1.0,1.0,,
boomplay.com,18,0,74450,1.2532,0.7639,,
melodyhousemi.com,19,0,72756,3.6983,0.2731,,
pendujatt.net,20,-9,68792,2.0307,0.3946,,
