id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
natwest.com,1,0,19027074,2.5948,0.4573,,
santander.co.uk,2,0,13524418,6.846,0.2771,,
lloydsbank.co.uk,3,0,12111641,5.8098,0.2563,,
lloydsbank.com,4,3,11050830,1.3425,0.8132,,
nationwide.co.uk,5,-1,9148969,4.1748,0.5172,,
hsbc.co.uk,6,-1,8256045,3.9521,0.4712,,
barclays.co.uk,7,-1,7550324,4.402,0.3365,,
halifax.co.uk,8,0,6704638,1.3726,0.8225,,
wise.com,9,0,5861499,2.8808,0.6241,,
americanexpress.com,10,1,4536384,2.8471,0.4431,https://static.semrush.com/power-pages/media/favicons/americanexpress-com-favicon-974ccc6c.ico,American Express
tsb.co.uk,11,-1,4210357,3.6144,0.394,,
xe.com,12,2,3096302,1.4474,0.8227,https://static.semrush.com/power-pages/media/favicons/xe-com-favicon-592e3c52.ico,XE.com
rbs.co.uk,13,-1,3020629,2.7721,0.3651,,
monzo.com,14,-1,2893973,1.6032,0.6626,,
virginmoney.com,15,4,2672615,3.6169,0.4447,,
downdetector.co.uk,16,2,2628605,1.4252,0.7401,,
barclaycard.co.uk,17,-2,2584401,3.7025,0.3273,,
arcot.com,18,-2,2430781,2.2326,0.0879,,
bankofscotland.co.uk,19,4,2262856,4.4199,0.4425,,
capitalone.co.uk,20,4,2176421,2.6049,0.4869,,
