id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
qualtrics.com,1,0,5145100,1.3595,0.8264,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
surveymonkey.com,2,0,4070814,1.8054,0.6965,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
ssisurveys.com,3,0,2176330,1.8976,0.497,,
smartsurvey.co.uk,4,0,1515152,1.6654,0.7788,,
cint.com,5,0,942755,3.0516,0.2528,https://static.semrush.com/power-pages/media/favicons/cint-com-favicon-4d4d06c0.png,Cint
alchemer.com,6,0,751442,1.5888,0.5866,https://static.semrush.com/power-pages/media/favicons/alchemer-com-favicon-5317c31e.png,Alchemer
decipherinc.com,7,3,552284,5.3552,0.5566,,
pureprofile.com,8,15,467575,4.3909,0.1535,,
gobranded.com,9,0,465852,4.6501,0.3748,,
confirmit.com,10,1,450455,2.1389,0.6517,,
snapsurveys.com,11,-3,358533,4.4714,0.3467,,
norstatpanel.com,12,13,354736,2.0204,0.5034,,
ipsos.com,13,3,341775,2.4516,0.7486,,
focusvision.com,14,4,335697,8.2688,0.5212,,
researchnow.com,15,-8,326984,1.191,0.9208,,
angelfish-opinions.com,16,0,322113,1.4117,0.7425,,
savanta.com,17,5,268726,2.9938,0.3203,,
lifepointspanel.com,18,1,236658,4.2398,0.526,,
questionpro.eu,19,1,200536,2.7771,0.5921,,
cloudresearch.com,20,6,188427,1.5854,0.8016,,
