id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
skysports.com,1,0,59116706,2.4745,0.4695,https://static.semrush.com/power-pages/media/favicons/skysports-com-favicon-fdabf9ae.png,Sky Sports
newsnow.co.uk,2,0,44550712,3.6558,0.2813,https://static.semrush.com/power-pages/media/favicons/newsnow-co-uk-favicon-32912c41.png,NewsNow
followfollow.com,3,0,35671583,7.965,0.1249,,
premierleague.com,4,5,23664331,1.8049,0.665,https://static.semrush.com/power-pages/media/favicons/premierleague-com-favicon-0bf7a53f.png,Premier League
bt.com,5,-1,22526217,5.4428,0.3345,https://static.semrush.com/power-pages/media/favicons/bt-com-favicon-b96b5593.ico,
liverpoolecho.co.uk,6,-1,21673425,2.7142,0.4493,https://static.semrush.com/power-pages/media/favicons/www-liverpoolecho-co-uk-favicon-97b6f5aa.ico,Echo News
manchestereveningnews.co.uk,7,1,19470153,2.1566,0.553,https://static.semrush.com/power-pages/media/favicons/www-manchestereveningnews-co-uk-favicon-21e74a18.ico,Manchester Evening News
walesonline.co.uk,8,-2,18102528,2.5012,0.5194,https://static.semrush.com/power-pages/media/favicons/www-walesonline-co-uk-favicon-88b42f89.ico,Wales Online
marca.com,9,-2,17232176,2.483,0.407,https://static.semrush.com/power-pages/media/favicons/marca-com-favicon-f2625cd3.png,MARCA
bet365.com,10,0,15665028,3.8425,0.4086,,Bet365
standard.co.uk,11,0,15222762,1.6103,0.8619,,Evening Standard
skybet.com,12,0,13635280,2.1442,0.6032,,Sky Betting and Gaming
flashscore.co.uk,13,0,12099412,3.8713,0.393,https://static.semrush.com/power-pages/media/favicons/www-flashscore-co-uk-favicon-5186b941.png,
football365.com,14,0,11886994,2.0145,0.4499,https://static.semrush.com/power-pages/media/favicons/www-football365-com-favicon-34ee068c.png,Football365
as.com,15,0,11118258,2.361,0.4259,,Diario AS
redcafe.net,16,8,10686738,6.3651,0.1991,,
vitalfootball.co.uk,17,0,10621391,5.8748,0.141,,
livescore.com,18,1,9540958,1.4587,0.7883,https://static.semrush.com/power-pages/media/favicons/livescore-com-favicon-6c363de8.png,LiveScore
live-footballontv.com,19,-3,9089439,1.1747,0.8714,,
talksport.com,20,0,9029705,1.4451,0.7596,https://static.semrush.com/power-pages/media/favicons/www-talksport-com-favicon-bdf73e17.png,talkSPORT
