id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
samsung.com,1,0,25477335,2.459,0.6473,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
bt.com,2,0,22526217,5.4428,0.3345,https://static.semrush.com/power-pages/media/favicons/bt-com-favicon-b96b5593.ico,
ee.co.uk,3,0,21050881,4.8744,0.4208,,EE UK
virginmedia.com,4,0,19685855,3.5648,0.3555,https://static.semrush.com/power-pages/media/favicons/virginmedia-com-favicon-cfc4a9ce.png,Virgin Media
three.co.uk,5,1,12261723,2.9645,0.5061,,
vodafone.co.uk,6,-1,11455637,3.561,0.5356,,
o2.co.uk,7,0,11159479,2.8779,0.5079,,O2
talktalk.co.uk,8,0,10392827,2.461,0.5975,,TalkTalk
giffgaff.com,9,0,9062287,3.5544,0.4031,,Giffgaff
who-called.co.uk,10,0,7428707,1.4469,0.7071,,
uswitch.com,11,0,5192603,2.6945,0.4791,,Uswitch
speedtest.net,12,0,4990149,1.4045,0.7499,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
gsmarena.com,13,0,3622242,2.6252,0.5726,https://static.semrush.com/power-pages/media/favicons/gsmarena-com-favicon-3c06be64.ico,GSMArena
idmobile.co.uk,14,3,3284876,3.2811,0.4758,,
downdetector.co.uk,15,5,2628605,1.4252,0.7401,,
fast.com,16,0,2622872,1.2608,0.8353,https://static.semrush.com/power-pages/media/favicons/fast-com-favicon-bbdb943e.png,
tescomobile.com,17,6,2609307,2.7152,0.592,,
watchseriesfree.co,18,0,2412055,2.3147,0.456,,
who-calls.me.uk,19,-5,2305610,1.2568,0.8408,,
smarty.co.uk,20,-1,2218535,1.9396,0.5549,,
