id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
booking.com,1,0,64612016,3.6903,0.45,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
marriott.com,2,0,43551199,3.9723,0.3868,https://static.semrush.com/power-pages/media/favicons/marriott-com-favicon-ae4adb29.png,Marriott
hilton.com,3,0,38806852,2.6749,0.4794,,Hilton Worldwide
opentable.com,4,0,34473256,1.9663,0.6444,,
hotels.com,5,0,18266955,3.5449,0.4404,,
ihg.com,6,0,13423750,2.7915,0.4649,,Intercontinental Hotels Group
hyatt.com,7,0,13310124,3.7118,0.3407,,Hyatt
costcotravel.com,8,1,9540342,5.1736,0.2406,,Costco Travel
agoda.com,9,-1,9400712,3.5087,0.4327,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
caesars.com,10,2,9069712,2.4451,0.4994,https://static.semrush.com/power-pages/media/favicons/www-caesars-com-favicon-d16b8701.ico,Caesars Entertainment
synxis.com,11,2,8222524,2.5338,0.5684,,
choicehotels.com,12,-2,7543584,1.5607,0.7115,,
wyndhamhotels.com,13,1,7365471,3.1727,0.4503,https://static.semrush.com/power-pages/media/favicons/wyndhamhotels-com-favicon-903ec997.png,Wyndham Hotels
mgmresorts.com,14,-3,6823556,3.2166,0.4186,https://static.semrush.com/power-pages/media/favicons/mgmresorts-com-favicon-442b2293.ico,MGM Resorts
abnb.me,15,1,6352100,1.7585,0.6673,,
exploretock.com,16,-1,5756772,1.4672,0.741,,
topgolf.com,17,0,5618195,1.5337,0.6937,,
bigbearmountainresort.com,18,5,5349092,2.2352,0.4832,,
cntraveler.com,19,-2,5286230,1.56,0.8083,,
cvent.com,20,-1,4893796,3.2371,0.6508,,
