id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
expedia.com,1,0,69095992,3.3448,0.3944,https://static.semrush.com/power-pages/media/favicons/expedia-com-favicon-8ba62c32.ico,Expedia
aa.com,2,0,58408145,4.6221,0.3634,,American Airlines
southwest.com,3,0,56271582,2.674,0.4776,https://static.semrush.com/power-pages/media/favicons/southwest-com-favicon-644188fe.png,Southwest Airlines
delta.com,4,1,53089765,4.1819,0.3529,https://static.semrush.com/power-pages/media/favicons/delta-com-favicon-634fea51.ico,Delta Air Lines
united.com,5,-1,51038574,2.2538,0.5542,,United Airlines
uber.com,6,0,41462597,2.0424,0.6333,,Uber
flightaware.com,7,1,38584673,3.5229,0.4528,,
kayak.com,8,-1,34893907,2.9307,0.37,https://static.semrush.com/power-pages/media/favicons/www-kayak-com-favicon-244acd6c.png,
lyft.com,9,0,23096112,1.7349,0.6798,,
alaskaair.com,10,0,19871004,4.523,0.382,,Alaska Air Group
jetblue.com,11,0,16302756,2.6187,0.4416,,
flyfrontier.com,12,0,15112166,4.5292,0.2632,,
spirit.com,13,0,12937100,2.3321,0.5174,,
barclaycardus.com,14,1,12593407,3.9898,0.3469,,
skyscanner.com,15,-1,12121453,2.8577,0.4712,https://static.semrush.com/power-pages/media/favicons/skyscanner-com-favicon-baab0b11.ico,Skyscanner
thepointsguy.com,16,0,10902093,1.4145,0.8052,,
flightradar24.com,17,0,10859228,2.2122,0.5619,,
aainflight.com,18,0,8324519,1.7388,0.6209,,
tsa.gov,19,3,8016907,2.0779,0.6436,,
travelocity.com,20,1,7259739,3.1815,0.415,https://static.semrush.com/power-pages/media/favicons/travelocity-com-favicon-61717263.ico,Travelocity
