id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
microsoftonline.com,1,0,744860954,1.8142,0.5444,,
office.com,2,0,569160548,2.1269,0.5893,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
live.com,3,0,477852838,2.9532,0.3837,,
instructure.com,4,0,425244989,7.1997,0.2304,,Instructure
zoom.us,5,0,300433984,2.2035,0.4986,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
quizlet.com,6,0,186145489,2.6404,0.5993,,Quizlet
outlook.com,7,0,143135275,1.6223,0.7427,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
office365.com,8,0,119488060,2.3314,0.5572,https://static.semrush.com/power-pages/media/favicons/office365-com-favicon-12e3dac8.ico,Microsoft 365
chegg.com,9,8,76081320,2.2258,0.6257,,Chegg
gmail.com,10,0,55691975,2.2263,0.735,https://static.semrush.com/power-pages/media/favicons/gmail-com-favicon-f3418a44.ico,Gmail
blackboard.com,11,5,55681049,3.012,0.5293,https://static.semrush.com/power-pages/media/favicons/blackboard-com-favicon-d65ad227.png,Blackboard
force.com,12,0,54758138,3.2951,0.4448,https://static.semrush.com/power-pages/media/favicons/force-com-favicon-ccda8df0.ico,
clever.com,13,1,53303774,2.3272,0.4277,https://static.semrush.com/power-pages/media/favicons/clever-com-favicon-45f91b1d.png,Clever
schoology.com,14,1,48061544,6.043,0.258,,Schoology
pearson.com,15,7,43759279,3.9523,0.2956,https://static.semrush.com/power-pages/media/favicons/pearson-com-favicon-5e1a3fdf.ico,Pearson
boxnovel.com,16,4,42242103,6.4389,0.4147,,BoxNovel
pokemonshowdown.com,17,2,41629474,1.8119,0.6415,,
getadblock.com,18,0,40780508,1.1171,0.8883,,AdBlock
classlink.com,19,2,40568691,2.2248,0.4439,,ClassLink
brainly.com,20,0,38989513,2.3657,0.6389,,Brainly
