id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
bovada.lv,1,1,19498026,1.6793,0.8018,https://static.semrush.com/power-pages/media/favicons/bovada-lv-favicon-5521d87e.ico,
mlive.com,2,-1,17162992,1.3857,0.7929,,
draftkings.com,3,0,16674406,4.8501,0.404,,DraftKings
galottery.com,4,2,15989682,2.9861,0.4389,,
fanduel.com,5,-1,15890306,3.2961,0.5215,,FanDuel
betus.com.pa,6,1,14090132,1.8671,0.84,,
powerball.com,7,1,11379783,1.4897,0.7769,,
floridalottery.com,8,0,10825816,1.8179,0.5417,,
megamillions.com,9,2,10815531,1.4832,0.7574,,
covers.com,10,0,9705284,18.0122,0.3168,,
caesars.com,11,-2,9069712,2.4451,0.4994,https://static.semrush.com/power-pages/media/favicons/www-caesars-com-favicon-d16b8701.ico,Caesars Entertainment
mybookie.ag,12,1,8228119,3.0031,0.5152,https://static.semrush.com/power-pages/media/favicons/mybookie-ag-favicon-32c499e7.ico,
luckylandslots.com,13,16,7040427,1.2932,0.8077,,
videopoker.com,14,0,6574902,9.4782,0.144,,
stake.com,15,12,6400892,1.8006,0.7143,,
bookiemarket.com,16,-2,6054992,21.2941,0.0662,,
wheeloffortune.com,17,5,5552858,2.5378,0.4496,,
calottery.com,18,-2,4878960,2.4596,0.639,,
bloodhorse.com,19,-2,4562028,1.4852,0.6795,,
nclottery.com,20,3,4405741,4.1845,0.3776,,
