id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
vanguard.com,1,0,25816812,6.3767,0.2518,,Vanguard
stockcharts.com,2,0,6649328,5.3737,0.4653,,
forexfactory.com,3,2,5299587,1.6649,0.7212,,
wallst.com,4,0,4019926,1.5077,0.7864,,
apmex.com,5,-2,3373914,2.8969,0.6251,,
morganstanley.com,6,0,3276935,2.3232,0.5175,https://static.semrush.com/power-pages/media/favicons/www-morganstanley-com-favicon-0ab66a3f.png,Morgan Stanley
troweprice.com,7,0,3097241,4.9994,0.2356,,T. Rowe Price
zerodha.com,8,0,2685937,4.6078,0.3028,https://static.semrush.com/power-pages/media/favicons/zerodha-com-favicon-ee40bcfc.png,Zerodha
merrilledge.com,9,6,2617890,1.2895,0.8041,,
chittorgarh.com,10,17,2563736,3.691,0.1837,,
capitalgroup.com,11,0,2409805,3.9358,0.3591,,
ishares.com,12,0,2396435,1.189,0.8991,,
rjf.com,13,-3,2396338,11.8276,0.4579,,
secureaccountview.com,14,-5,2235387,4.403,0.1775,,
emaplan.com,15,-2,2020134,7.1627,0.2834,,
kingworldnews.com,16,-2,1893284,1.5957,0.4798,,
blackrock.com,17,2,1373756,1.5622,0.747,https://static.semrush.com/power-pages/media/favicons/blackrock-com-favicon-56bcf7f3.png,BlackRock
raymondjames.com,18,10,1282712,1.2502,0.8848,https://static.semrush.com/power-pages/media/favicons/www-raymondjames-com-favicon-4f26bb58.png,Raymond James
tamaracinc.com,19,11,1193532,2.9946,0.5611,,
etfdb.com,20,-4,1182524,1.7454,0.6723,,
