id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
spotify.com,1,0,239614267,2.2377,0.5643,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
genius.com,2,0,130504797,1.8053,0.7303,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
ticketmaster.com,3,0,112093139,2.5318,0.5183,https://static.semrush.com/power-pages/media/favicons/ticketmaster-com-favicon-3b5c8f80.png,Ticketmaster
soundcloud.com,4,0,69446274,1.7234,0.6735,https://static.semrush.com/power-pages/media/favicons/soundcloud-com-favicon-cb20269e.ico,SoundCloud
ultimate-guitar.com,5,0,39088795,3.7536,0.5881,https://static.semrush.com/power-pages/media/favicons/ultimate-guitar-com-favicon-cf8d32b3.png,Ultimate Guitar
rollingstone.com,6,2,31556637,1.5255,0.7872,,
iheart.com,7,2,29353952,1.4164,0.7835,,
bandcamp.com,8,-2,27996999,2.5371,0.5875,https://static.semrush.com/power-pages/media/favicons/bandcamp-com-favicon-d41b9011.png,Bandcamp
last.fm,9,-2,23874835,4.9393,0.4847,,
discogs.com,10,3,23600053,7.4529,0.3904,https://static.semrush.com/power-pages/media/favicons/discogs-com-favicon-bcb37f5d.png,Discogs
reverb.com,11,1,23395602,2.9287,0.4717,,
sweetwater.com,12,-2,23023149,3.3821,0.5336,,
blabbermouth.net,13,-2,21592880,1.7658,0.5564,,
livenation.com,14,2,19107081,1.5985,0.701,,
rateyourmusic.com,15,2,17421662,5.6441,0.3281,,
fb.me,16,2,16647918,1.0869,0.9284,,
metal-archives.com,17,2,15433378,5.3218,0.2148,,
guitarcenter.com,18,-4,15308960,3.3101,0.477,,
billboard.com,19,3,15195630,1.5571,0.7852,,
musescore.com,20,1,14388187,3.2824,0.5174,,
