id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,23351239790,6.3742,0.3444,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
wikipedia.org,2,0,2612116740,2.0564,0.6108,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
twitter.com,3,0,2354501685,1.9936,0.6994,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
instagram.com,4,0,1678678497,2.0892,0.6813,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
cnn.com,5,0,931613649,2.017,0.533,https://static.semrush.com/power-pages/media/favicons/cnn-com-favicon-43177be7.ico,CNN
nytimes.com,6,0,774054472,2.1335,0.6093,https://static.semrush.com/power-pages/media/favicons/nytimes-com-favicon-319373aa.png,The New York Times
foxnews.com,7,0,706198148,3.1602,0.3604,https://static.semrush.com/power-pages/media/favicons/foxnews-com-favicon-bfeed514.png,Fox News
imdb.com,8,0,495427671,3.0569,0.4738,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png,IMDB
dailymail.co.uk,9,0,411575025,2.4275,0.467,https://static.semrush.com/power-pages/media/favicons/dailymail-co-uk-favicon-2e69051a.png,Daily Mail
bbc.com,10,0,252104158,2.1402,0.5466,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg,BBC
breitbart.com,11,0,242292205,2.3813,0.4114,https://static.semrush.com/power-pages/media/favicons/breitbart-com-favicon-3a51ee6f.png,Breitbart
theguardian.com,12,0,186980692,2.1191,0.5946,https://static.semrush.com/power-pages/media/favicons/theguardian-com-favicon-fee5e2d6.png,The Guardian US
thegatewaypundit.com,13,2,180793811,2.3403,0.4304,https://static.semrush.com/power-pages/media/favicons/thegatewaypundit-com-favicon-5cfb2c93.ico,The Gateway Pundit
usatoday.com,14,-1,177060804,1.8189,0.7537,https://static.semrush.com/power-pages/media/favicons/usatoday-com-favicon-a4d01a7d.ico,USA Today
drudgereport.com,15,3,170721945,2.2668,0.6611,,Drudge Report
nbcnews.com,16,3,169876927,1.5007,0.7673,,NBC News
washingtonpost.com,17,-3,166296101,2.6046,0.5633,,Washington Post
apnews.com,18,-2,162899830,1.4356,0.7757,https://static.semrush.com/power-pages/media/favicons/apnews-com-favicon-ae463968.png,Associated Press
people.com,19,-2,154086713,1.7528,0.6672,https://static.semrush.com/power-pages/media/favicons/people-com-favicon-3cd2218a.png,people.com
npr.org,20,1,137864901,1.2387,0.8573,https://static.semrush.com/power-pages/media/favicons/npr-org-favicon-957934bb.png,NPR
