id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
zillow.com,1,0,353153485,3.0367,0.5597,,Zillow
craigslist.org,2,0,238275680,7.0463,0.2992,https://static.semrush.com/power-pages/media/favicons/craigslist-org-favicon-c30bf3a9.ico,Craigslist
realtor.com,3,0,133802369,2.3396,0.5974,https://static.semrush.com/power-pages/media/favicons/realtor-com-favicon-8d9897b2.png,Realtor.com
redfin.com,4,0,97706906,2.5512,0.6214,https://static.semrush.com/power-pages/media/favicons/redfin-com-favicon-8a0f2906.png,Redfin
apartments.com,5,0,55353622,3.3852,0.4685,,Apartments.com
homes.com,6,4,39353055,2.2127,0.7136,,
trulia.com,7,-1,34754717,2.865,0.5971,https://static.semrush.com/power-pages/media/favicons/trulia-com-favicon-3daf3d09.png,Trulia
vrbo.com,8,-1,27898565,4.2926,0.4499,https://static.semrush.com/power-pages/media/favicons/vrbo-com-favicon-7947742b.png,VRBO
appfolio.com,9,0,26515653,3.9094,0.4158,https://static.semrush.com/power-pages/media/favicons/appfolio-com-favicon-d5732cc6.png,Appfolio
securecafe.com,10,-2,22538466,4.0381,0.3105,,
onehome.com,11,0,20596790,1.6371,0.7054,,
fastpeoplesearch.com,12,0,18746427,3.6494,0.459,https://static.semrush.com/power-pages/media/favicons/fastpeoplesearch-com-favicon-9699770d.ico,Fast People Search
flexmls.com,13,0,15332820,2.6998,0.3655,https://static.semrush.com/power-pages/media/favicons/flexmls-com-favicon-b44fe142.ico,Flexmls
loopnet.com,14,0,13065959,2.7087,0.5443,https://static.semrush.com/power-pages/media/favicons/www-loopnet-com-favicon-8c084e95.ico,LoopNet
spokeo.com,15,1,12447937,2.9153,0.4575,,Spokeo
rocketmortgage.com,16,-1,11527966,1.9202,0.7098,,Rocket Mortgage
estatesales.net,17,11,9232450,3.2414,0.5411,,
streeteasy.com,18,4,9166552,5.226,0.4104,https://static.semrush.com/power-pages/media/favicons/streeteasy-com-favicon-1272e3dd.png,StreetEasy
brightmls.com,19,0,8819208,5.8263,0.3789,,
mlsmatrix.com,20,-2,8270608,6.9128,0.2827,,
