id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
doordash.com,1,0,90890911,3.3239,0.5377,,DoorDash
dominos.com,2,0,50284778,3.4685,0.402,,Domino's
opentable.com,3,0,34473256,1.9663,0.6444,,
pizzahut.com,4,0,30794942,2.1639,0.5109,https://static.semrush.com/power-pages/media/favicons/pizzahut-com-favicon-222f82e5.ico,Pizza Hut
tacobell.com,5,4,25487337,4.1309,0.4734,,Taco Bell
grubhub.com,6,0,22856262,1.8606,0.6928,https://static.semrush.com/power-pages/media/favicons/grubhub-com-favicon-1a997ed5.png,Grubhub
ubereats.com,7,-2,22481454,2.0438,0.6464,,Uber Eats
papajohns.com,8,0,20616089,4.8922,0.4683,,Papa John's
chick-fil-a.com,9,-2,17299942,3.2265,0.4067,,
mcdonalds.com,10,1,15822053,2.0426,0.5919,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
bk.com,11,19,15088750,1.4867,0.7573,,Burger King
chipotle.com,12,-2,14996424,1.6283,0.6863,https://static.semrush.com/power-pages/media/favicons/www-chipotle-com-favicon-68461926.ico,Chipotle
sonicdrivein.com,13,0,14718675,2.221,0.4514,,
budgetbytes.com,14,-2,14439887,2.0559,0.7208,,
buffalowildwings.com,15,1,12666617,1.9394,0.6441,,
olivegarden.com,16,3,11693425,2.1122,0.5671,,Olive Garden
littlecaesars.com,17,-3,11645262,1.4351,0.7788,,Little Caesars
wendys.com,18,2,11416363,2.0264,0.4888,,
panerabread.com,19,2,11034437,1.5597,0.7048,,Panera Bread
subway.com,20,-3,10995237,3.9325,0.4027,,
