id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
usps.com,1,0,396875550,2.2189,0.5838,,USPS
fedex.com,2,1,189348760,1.8362,0.6722,,FedEx
ups.com,3,-1,175732298,1.7618,0.7388,,United Parcel Service
mta.info,4,3,23487183,2.1795,0.459,,Metropolitan Transportation Authority
dhl.com,5,0,21874114,2.6832,0.4421,,DHL
amtrak.com,6,0,21383936,3.4708,0.4025,,Amtrak
uhaul.com,7,1,20755212,4.3429,0.4279,,U-Haul
17track.net,8,-4,20316998,2.9963,0.2846,https://static.semrush.com/power-pages/media/favicons/17track-net-favicon-1b4f9a6e.png,17TRACK
shipstation.com,9,0,13809055,1.9888,0.786,,ShipStation
dot.gov,10,3,12619209,2.6178,0.5786,,
dhlglobalmail.com,11,-1,10790464,1.1546,0.8854,,
aftership.com,12,2,8178698,1.2032,0.8474,https://static.semrush.com/power-pages/media/favicons/aftership-com-favicon-18b89c14.png,AfterShip
pirateship.com,13,-1,8000870,6.4447,0.2631,,Pirate Ship
ontrac.com,14,3,7842402,1.6513,0.6274,,OnTrac Shipping
parcelsapp.com,15,-4,7332741,1.3997,0.7302,https://static.semrush.com/power-pages/media/favicons/parcelsapp-com-favicon-3bfec6c8.png,
thetruckersreport.com,16,6,6775497,3.5426,0.472,,TruckersReport
odfl.com,17,0,6685581,3.7663,0.1889,,Old Dominion Freight Line
metro.net,18,0,5765802,3.3923,0.271,,
greyhound.com,19,-1,5571662,2.509,0.3282,,Greyhound Lines
wmata.com,20,0,5314554,2.8809,0.3983,,
