id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.com,1,0,2625239746,2.9271,0.4505,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
youtube.com,2,0,1239223473,5.0698,0.3996,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
nettruyenss.com,3,8,437575974,9.5268,0.2899,,
facebook.com,4,-1,410178340,2.8208,0.5449,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
vnexpress.net,5,0,215995974,2.9772,0.3885,https://static.semrush.com/power-pages/media/favicons/vnexpress-net-favicon-c8f325f5.png,VNexpress
vlxx.moe,6,0,202749599,3.8002,0.321,,
truyenfull.vn,7,0,151590372,8.0234,0.3318,https://static.semrush.com/power-pages/media/favicons/truyenfull-vn-favicon-919bb1ea.png,Truyen Full
truyenqqvn.com,8,0,129358063,8.5913,0.3266,,
animevietsub.io,9,3,122905084,3.9364,0.4109,,
dualeotruyenme.com,10,0,122865695,8.3101,0.303,,
metruyencv.info,11,0,93194347,10.3417,0.2777,,
shopee.vn,12,4,87757945,2.796,0.6006,https://static.semrush.com/power-pages/media/favicons/shopee-vn-favicon-c5618c85.ico,Shopee Vietnam
zalo.me,13,4,82360428,1.5143,0.7965,https://static.semrush.com/power-pages/media/favicons/zalo-me-favicon-6045e011.ico,Zalo
24h.com.vn,14,5,81307254,2.6466,0.4257,https://static.semrush.com/power-pages/media/favicons/24h-com-vn-favicon-80a294e3.png,
wordpress.com,15,0,75920723,4.1665,0.4442,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
wikipedia.org,16,8,69341481,1.8574,0.6729,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
qadc.net,17,3,68157578,4.3793,0.4249,,
wikisach.net,18,-9,68026045,10.4453,0.2699,,
google.com.vn,19,4,66172981,2.9934,0.3601,,Google Vietnam
ungtycomicsvip.com,20,-2,63842386,4.7604,0.3092,,
