id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
fragrantica.com,1,1,291865,1.8529,0.5205,,
ongtrum.pro,2,14,267413,3.1003,0.4286,,
paulaschoice.vn,3,0,174513,1.1567,0.95,,
xxivstore.com,4,14,169692,2.2337,0.5991,,
thegioisonmoi.com,5,0,155956,1.2407,0.8887,,
loreal-paris.com.br,6,0,146040,9.0,0.0,,
strawberrynet.com,7,15,99666,1.1196,0.8895,,
checkcosmetic.net,8,0,93031,1.1958,0.8252,,
avon.com.br,9,0,73020,6.0,0.25,,
incidecoder.com,10,4,71762,1.0,1.0,,
abbeautyworld.com,11,-10,66580,4.2248,0.6206,,
lipstick.vn,12,-8,58001,1.293,0.707,,
sephora.com,13,0,55017,1.8889,0.6555,,Sephora
herskincare.vn,14,-3,53089,1.1156,0.9399,,
oldspice.com,15,0,46821,1.6527,0.6736,,
thebodyshop.com.vn,16,9,46215,1.3518,0.6482,,
boots.com,17,0,45843,2.3333,0.6667,https://static.semrush.com/power-pages/media/favicons/boots-com-favicon-6290cadd.png,Boots UK
dinhnghia.com.vn,18,-8,41045,1.0031,0.9969,,
loreal.com,19,2,38152,1.0479,0.9826,,
oliveyoung.com,20,0,38110,1.2483,0.925,,
