id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
wattpad.com,1,0,32934171,1.7962,0.658,,Wattpad
bing.com,2,0,26581912,4.8908,0.296,,Bing
dailymotion.com,3,0,11075029,1.3321,0.8127,,Dailymotion
netflix.com,4,1,10232144,2.2424,0.5605,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico,Netflix
novelupdates.com,5,-1,5575969,3.8697,0.3579,,Novel Updates
spotify.com,6,1,5261046,2.2023,0.5491,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
riotgames.com,7,-1,5205628,1.8275,0.6635,,Riot Games
novelcool.com,8,0,4030194,4.236,0.4283,,
msn.com,9,4,3832551,2.4564,0.5511,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico,MSN
moveek.com,10,4,3744495,1.7173,0.6101,,
webnovel.com,11,-2,3724243,1.5074,0.7435,,
iq.com,12,0,3457825,1.5222,0.7065,,
webtoons.com,13,-3,2603695,2.373,0.5778,https://static.semrush.com/power-pages/media/favicons/webtoons-com-favicon-798c6c6a.ico,Webtoon
tokuvn.com,14,3,2394957,3.432,0.4205,,
deviantart.com,15,3,2167960,4.6227,0.4577,https://static.semrush.com/power-pages/media/favicons/deviantart-com-favicon-a4e32b90.png,DeviantArt
mangasee123.com,16,-1,1998732,2.7924,0.412,,
allkpop.com,17,-1,1762359,2.7857,0.299,,
shueisha.co.jp,18,-7,1717740,1.3494,0.8366,,
mangaupdates.com,19,1,1697828,1.6861,0.685,,
genius.com,20,1,1482023,1.9923,0.6269,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
