id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
stake.com,1,0,963573,2.2754,0.5583,,
asianbookie.com,2,3,523472,6.4166,0.402,,
alc.ca,3,-1,365100,5.2,0.15,,
mega.io,4,-1,249383,1.4524,0.683,,
1xbit.com,5,8,229215,1.2667,0.7333,,
forebet.com,6,0,169069,2.3557,0.2769,,
ggpoker.com,7,0,148990,1.9994,0.3747,,
pokernow.club,8,0,93328,1.4384,0.6771,,
gamblershelp.com.au,9,0,73757,1.0,1.0,,
blackjackapprenticeship.com,10,0,73020,1.0,1.0,,
mckinneycompetitions.com,11,-7,54765,2.3333,0.0,,
betano.com,12,0,46434,14.9082,0.0001,,
thelotter.com,13,0,45843,2.6667,0.3333,,
kasoom.com,14,0,37757,1.5953,0.4047,,
bet365.com,15,-1,37588,1.0913,0.9348,,Bet365
gaming.net,16,0,34553,1.0283,0.9717,,
bc.game,17,-10,34188,1.087,0.913,,
vuacua.vn,18,0,33702,7.3527,0.5417,,
hawk.live,19,1,29331,7.7039,0.4007,,
gamdom.com,20,0,26296,1.1784,0.865,,
