id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
topcv.vn,1,0,6732670,3.0118,0.5707,,TopCV
masothue.com,2,0,3370328,1.5454,0.7624,,
vietnamworks.com,3,0,2959780,3.4838,0.4964,,
indeed.com,4,1,2781099,2.4021,0.5744,https://static.semrush.com/power-pages/media/favicons/indeed-com-favicon-121a0618.ico,
vieclam24h.vn,5,1,2138298,2.4512,0.6511,,
base.vn,6,6,1155098,2.7086,0.4814,,
careerlink.vn,7,2,979284,1.8276,0.8031,,
jobsgo.vn,8,2,848271,3.5695,0.5504,,
topdev.vn,9,-2,830286,1.6361,0.7662,,
1office.vn,10,3,611980,1.439,0.7584,,
hoteljob.vn,11,5,576327,2.8967,0.4826,,
careerbuilder.vn,12,-8,539825,4.3808,0.5693,,
jobstreet.vn,13,1,529451,2.4485,0.6235,,
16personalities.com,14,-3,439414,2.481,0.408,,
joboko.com,15,2,410462,2.8253,0.5985,,
uniaudit.vn,16,-8,401610,5.3182,0.1818,,
123job.vn,17,-2,396312,2.6718,0.4573,,
alltop.vn,18,10,225089,1.0854,0.9146,,
tanca.io,19,0,203988,1.2771,0.8737,,
vng.com.vn,20,-2,192611,2.5814,0.5571,,
