id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,1239223473,5.0698,0.3996,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
vnexpress.net,2,0,215995974,2.9772,0.3885,https://static.semrush.com/power-pages/media/favicons/vnexpress-net-favicon-c8f325f5.png,VNexpress
wikipedia.org,3,0,69341481,1.8574,0.6729,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
twitter.com,4,0,54372473,1.8483,0.7088,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
instagram.com,5,0,39205417,2.23,0.6582,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
vietnamnet.vn,6,1,22245838,1.797,0.6989,,VietnamNet
thanhnien.vn,7,-1,20804303,1.8373,0.6335,https://static.semrush.com/power-pages/media/favicons/thanhnien-vn-favicon-51707a2e.png,Thanh Nien
bongda.com.vn,8,0,15217666,3.0407,0.3161,,BongDa
imdb.com,9,0,6147762,2.2279,0.534,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png,IMDB
hungmobile.vn,10,1,4063178,2.5897,0.4968,,
kienthuc.net.vn,11,2,3855022,2.0287,0.5186,,
nytimes.com,12,-2,3724776,2.134,0.4901,https://static.semrush.com/power-pages/media/favicons/nytimes-com-favicon-319373aa.png,The New York Times
az24.vn,13,7,3539203,2.8753,0.6659,,
cnn.com,14,-2,2580909,1.9831,0.4274,https://static.semrush.com/power-pages/media/favicons/cnn-com-favicon-43177be7.ico,CNN
nhandan.vn,15,0,1848226,1.4543,0.7566,,
tinthethao.com.vn,16,0,1842725,2.3099,0.464,,
thethaovanhoa.vn,17,2,1764794,1.287,0.8397,,
giacaphe.com,18,-1,1460369,1.3016,0.7871,,
rt.com,19,9,1361670,2.8807,0.288,https://static.semrush.com/power-pages/media/favicons/rt-com-favicon-a71a5c1a.png,RT
vnreview.vn,20,5,1176381,1.2263,0.8623,,
