id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
cellphones.com.vn,1,0,33589410,2.6044,0.5927,,
samsung.com,2,0,5691863,2.4209,0.6824,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
clickbuy.com.vn,3,0,4208241,2.6423,0.5157,,
speedtest.net,4,1,3118987,1.3281,0.7987,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
vnpt.vn,5,-1,2078222,3.1202,0.511,,
mobifone.vn,6,1,1895712,3.4626,0.5373,,
vnpt.com.vn,7,-1,1825671,1.9041,0.6763,,
tracuuthansohoc.com,8,0,1572974,2.1002,0.5098,,
gsmarena.com,9,0,1492867,2.2811,0.5102,https://static.semrush.com/power-pages/media/favicons/gsmarena-com-favicon-3c06be64.ico,GSMArena
lg.com,10,1,1131135,4.0064,0.6724,https://static.semrush.com/power-pages/media/favicons/lg-com-favicon-07d6731d.png,LG
fast.com,11,-1,979597,1.2085,0.8673,https://static.semrush.com/power-pages/media/favicons/fast-com-favicon-bbdb943e.png,
speedtest.vn,12,1,916826,1.2249,0.8122,,
vinaphone.com.vn,13,2,577679,1.3816,0.8188,,
huawei.com,14,3,541977,1.4508,0.6877,https://static.semrush.com/power-pages/media/favicons/huawei-com-favicon-1082d335.png,Huawei
tp-link.com,15,3,538269,1.9483,0.6403,,TP-Link
viettel4g.net,16,8,471727,1.1223,0.8818,,
dontkillmyapp.com,17,-5,409191,2.2859,0.2649,,
samsungmobile.com,18,2,408301,1.0828,0.9226,,
router-network.com,19,0,400577,1.6919,0.4971,,
spectrum.net,20,0,368034,6.0753,0.2011,,Spectrum
