id,position,change,visits,pages_per_visit,bounce_rate,favicon
taboola.com,1,0,6833211,1.3588,0.7756,
googleusercontent.com,2,0,1423385,2.2022,0.6656,
doubleclick.net,3,1,1240565,1.3438,0.8198,https://static.semrush.com/power-pages/media/favicons/doubleclick-net-favicon-bf09e67f.png
linktr.ee,4,-1,919104,1.5635,0.7245,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png
blogger.com,5,0,543643,3.0094,0.5493,
fb.com,6,0,326124,1.3714,0.7936,https://static.semrush.com/power-pages/media/favicons/fb-com-favicon-d2850d31.ico
hotmart.com,7,0,211463,2.6493,0.5264,https://static.semrush.com/power-pages/media/favicons/hotmart-com-favicon-4c66673d.png
getresponse.com,8,5,155072,2.2594,0.6771,https://static.semrush.com/power-pages/media/favicons/getresponse-com-favicon-34c4c40a.png
mailchimp.com,9,0,147349,5.2798,0.3432,https://static.semrush.com/power-pages/media/favicons/mailchimp-com-favicon-8969a0a6.ico
popads.net,10,1,130891,2.0056,0.5866,https://static.semrush.com/power-pages/media/favicons/popads-net-favicon-a3bf2561.ico
criteo.com,11,-1,86605,1.3821,0.7994,https://static.semrush.com/power-pages/media/favicons/criteo-com-favicon-000bf649.ico
rockcontent.com,12,0,76150,1.2381,0.8254,https://static.semrush.com/power-pages/media/favicons/rockcontent-com-favicon-357c8425.png
crowdtangle.com,13,-5,74209,2.1264,0.3901,https://static.semrush.com/power-pages/media/favicons/www-crowdtangle-com-favicon-664be87a.ico
semrush.com,14,1,31513,2.2797,0.5409,https://static.semrush.com/power-pages/media/favicons/semrush-favicon-3cd418d5bb49.ico
interpublic.com,15,-1,23168,2.375,0.0,https://static.semrush.com/power-pages/media/favicons/www-interpublic-com-favicon-8d9209cd.png
kartra.com,16,4,17143,5.9444,0.3611,
webinarjam.com,17,1,15631,2.0952,0.4286,
later.com,18,-1,14663,1.5364,0.6226,https://static.semrush.com/power-pages/media/favicons/later-com-favicon-f98c7f0b.ico
constantcontact.com,19,0,13438,1.7405,0.6325,https://static.semrush.com/power-pages/media/favicons/constantcontact-com-favicon-2d66d02a.png
ahrefs.com,20,-4,13364,3.7959,0.2653,https://static.semrush.com/power-pages/media/favicons/ahrefs-com-favicon-3cced242.png
