id,position,change,visits,pages_per_visit,bounce_rate,favicon
facebook.com,1,0,372793194,5.7421,0.3676,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico
youtube.com,2,0,237967623,3.8263,0.4608,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
instagram.com,3,0,98842768,4.8911,0.4921,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
bet365.com,4,0,28531414,2.426,0.7095,
tiktok.com,5,2,25217619,2.5069,0.4525,https://static.semrush.com/power-pages/media/favicons/tiktok-com-favicon-3776ce2f.png
fandom.com,6,-1,24533167,3.1523,0.569,https://static.semrush.com/power-pages/media/favicons/fandom-com-favicon-333b1223.png
pornhub.com,7,-1,24338784,7.9119,0.2227,https://static.semrush.com/power-pages/media/favicons/pornhub-com-favicon-bf5b6c80.ico
netflix.com,8,0,21650466,2.6417,0.568,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico
twitch.tv,9,0,15489206,2.2781,0.5698,https://static.semrush.com/power-pages/media/favicons/twitch-tv-favicon-d6025c14.png
booking.com,10,0,14199523,5.9931,0.3676,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico
techtudo.com.br,11,0,12783646,1.4033,0.7565,https://static.semrush.com/power-pages/media/favicons/techtudo-com-br-favicon-263ef316.png
discord.com,12,0,10985365,1.9763,0.5642,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico
badoo.com,13,1,9829375,15.1374,0.239,https://static.semrush.com/power-pages/media/favicons/badoo-com-favicon-042c9997.ico
jw.org,14,-1,9766777,6.6734,0.3266,
spotify.com,15,0,7746297,3.0095,0.4922,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png
canva.com,16,0,6226259,4.0143,0.2865,
steampowered.com,17,0,5379292,3.0476,0.4768,
bbc.com,18,0,4982418,1.588,0.757,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg
crunchyroll.com,19,1,4160691,4.1355,0.3422,
hbomax.com,20,-1,4079991,1.547,0.7023,https://static.semrush.com/power-pages/media/favicons/hbomax-com-favicon-97481bf8.ico
