id,position,change,visits,pages_per_visit,bounce_rate,favicon
live.com,1,0,69157458,4.5844,0.2708,
mediafire.com,2,0,6532639,2.365,0.5275,
office.com,3,0,5893543,2.0587,0.6064,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico
trello.com,4,0,4321398,1.8925,0.6499,https://static.semrush.com/power-pages/media/favicons/trello-com-favicon-18746ed5.png
fast.com,5,0,2322595,1.5333,0.6975,https://static.semrush.com/power-pages/media/favicons/fast-com-favicon-bbdb943e.png
stackoverflow.com,6,0,1817396,1.5009,0.7749,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico
speedtest.net,7,3,1525017,1.5077,0.7524,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png
dell.com,8,0,1481955,2.7538,0.5493,
y2mate.com,9,-2,1315696,3.5968,0.3679,https://static.semrush.com/power-pages/media/favicons/y2mate-com-favicon-ecbe24fe.png
outlook.com,10,2,1233258,1.3945,0.7511,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico
wordpress.com,11,0,1185563,1.8287,0.7252,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png
info.com,12,-3,1097107,1.69,0.7246,https://static.semrush.com/power-pages/media/favicons/info-com-favicon-c840101f.png
wetransfer.com,13,0,1070972,2.4201,0.4739,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png
hotmail.com,14,2,991002,0.9233,0.8566,
mozilla.org,15,2,802034,1.52,0.7373,https://static.semrush.com/power-pages/media/favicons/mozilla-org-favicon-2af054fe.png
chanty.com,16,0,751249,1.2593,0.8148,https://static.semrush.com/power-pages/media/favicons/www-chanty-com-favicon-f4067dc9.ico
godaddy.com,17,3,733859,3.4821,0.4294,https://static.semrush.com/power-pages/media/favicons/godaddy-com-favicon-c4d543d1.png
fbcdn.net,18,0,705346,1.9243,0.6942,https://static.semrush.com/power-pages/media/favicons/fbcdn-net-favicon-7e765f1c.ico
lenovo.com,19,0,703641,2.2209,0.5821,
doubleclick.net,20,-5,694859,1.3162,0.8318,https://static.semrush.com/power-pages/media/favicons/doubleclick-net-favicon-bf09e67f.png
