id,position,change,visits,pages_per_visit,bounce_rate,favicon
youtube.com,1,0,265685695,3.3229,0.5043,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
wikipedia.org,2,0,145547304,2.0283,0.6681,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico
twitter.com,3,0,73821322,3.4507,0.4784,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png
instagram.com,4,0,65490244,3.39,0.5539,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
ctvnews.ca,5,1,50393806,1.9288,0.6009,https://static.semrush.com/power-pages/media/favicons/ctvnews-ca-favicon-8a75833a.png
cbc.ca,6,-1,46728000,1.9717,0.6226,https://static.semrush.com/power-pages/media/favicons/cbc-ca-favicon-1de4166b.png
cnn.com,7,0,31171180,2.6579,0.4728,https://static.semrush.com/power-pages/media/favicons/cnn-com-favicon-43177be7.ico
imdb.com,8,0,28680870,3.8758,0.4651,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png
bbc.com,9,0,19598473,2.8441,0.5005,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg
meteomedia.com,10,1,19156480,1.9728,0.608,https://static.semrush.com/power-pages/media/favicons/meteomedia-com-favicon-770d85f4.ico
nhl.com,11,-1,17236004,3.0406,0.5404,https://static.semrush.com/power-pages/media/favicons/nhl-com-favicon-62b8f795.jpg
globalnews.ca,12,0,16898448,2.0151,0.7046,https://static.semrush.com/power-pages/media/favicons/globalnews-ca-favicon-e2d22e9e.ico
gouv.qc.ca,13,0,14125679,4.1225,0.4537,https://static.semrush.com/power-pages/media/favicons/gouv-qc-ca-favicon-e75b6b66.png
nytimes.com,14,0,10672729,2.1918,0.6223,https://static.semrush.com/power-pages/media/favicons/nytimes-com-favicon-319373aa.png
theguardian.com,15,0,10072243,2.5395,0.5981,https://static.semrush.com/power-pages/media/favicons/theguardian-com-favicon-fee5e2d6.png
dailymail.co.uk,16,2,8804394,2.5831,0.5851,https://static.semrush.com/power-pages/media/favicons/dailymail-co-uk-favicon-2e69051a.png
people.com,17,0,8794663,2.1162,0.6339,https://static.semrush.com/power-pages/media/favicons/people-com-favicon-3cd2218a.png
nba.com,18,-2,6992319,3.0565,0.4217,https://static.semrush.com/power-pages/media/favicons/nba-com-favicon-3c2b1489.jpg
washingtonpost.com,19,1,5658378,2.1137,0.639,
foxnews.com,20,1,5620597,3.4675,0.4343,https://static.semrush.com/power-pages/media/favicons/foxnews-com-favicon-bfeed514.png
