id,position,change,visits,pages_per_visit,bounce_rate,favicon
live.com,1,0,54023147,4.282,0.2817,
free.fr,2,0,30117616,4.5412,0.393,https://static.semrush.com/power-pages/media/favicons/free-fr-favicon-46d6d495.png
laposte.net,3,0,15043801,4.7951,0.2139,
office.com,4,0,13679268,2.4199,0.4968,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico
doubleclick.net,5,3,8359471,1.4739,0.8315,https://static.semrush.com/power-pages/media/favicons/doubleclick-net-favicon-bf09e67f.png
stackoverflow.com,6,-1,7609384,1.3523,0.8241,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico
wordpress.com,7,-1,6618838,2.0788,0.6251,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png
wetransfer.com,8,-1,5840035,2.127,0.4967,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png
fbcdn.net,9,0,4123756,2.4252,0.6866,https://static.semrush.com/power-pages/media/favicons/fbcdn-net-favicon-7e765f1c.ico
mozilla.org,10,0,3542365,1.5493,0.7506,https://static.semrush.com/power-pages/media/favicons/mozilla-org-favicon-2af054fe.png
salesforce.com,11,1,2352946,4.7685,0.5313,https://static.semrush.com/power-pages/media/favicons/salesforce-com-favicon-ccda8df0.ico
dropbox.com,12,-1,2255300,2.8082,0.5425,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png
outlook.com,13,0,2141457,1.3972,0.7578,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico
trello.com,14,0,1629334,1.7797,0.6351,https://static.semrush.com/power-pages/media/favicons/trello-com-favicon-18746ed5.png
speedtest.net,15,1,1555662,1.5308,0.7394,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png
mediafire.com,16,2,1322588,2.2857,0.6071,
icloud.com,17,2,1321801,2.3623,0.538,https://static.semrush.com/power-pages/media/favicons/icloud-com-favicon-91892d3d.png
clickcease.com,18,12,1268316,1.183,0.8745,
dell.com,19,-2,1259548,2.968,0.5978,
lenovo.com,20,-5,1169994,2.5269,0.5104,
