id,position,change,visits,pages_per_visit,bounce_rate,favicon
google.com,1,0,732334227,5.3911,0.388,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico
facebook.com,2,0,221837263,5.3057,0.3649,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico
youtube.com,3,0,187890612,3.2512,0.5259,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
wikipedia.org,4,0,151424968,1.9371,0.6724,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico
amazon.fr,5,0,114948449,6.8043,0.422,https://static.semrush.com/power-pages/media/favicons/amazon-fr-favicon-ca6619b8.ico
google.fr,6,0,113381714,4.897,0.395,
leboncoin.fr,7,0,87328607,5.2972,0.4037,
ouest-france.fr,8,0,73823654,1.8846,0.7406,
lefigaro.fr,9,0,70903551,1.9903,0.6963,https://static.semrush.com/power-pages/media/favicons/lefigaro-fr-favicon-5cc5b522.png
yahoo.com,10,0,69383903,4.6248,0.3245,
programme-tv.net,11,0,65305413,2.2001,0.5794,https://static.semrush.com/power-pages/media/favicons/programme-tv-net-favicon-5e5d9b48.png
leparisien.fr,12,0,60978465,1.5085,0.7833,https://static.semrush.com/power-pages/media/favicons/leparisien-fr-favicon-4df0d672.ico
live.com,13,0,54023147,4.282,0.2817,
twitter.com,14,1,50581687,3.1379,0.4866,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png
cdiscount.com,15,-1,47689978,4.1571,0.4215,
meteofrance.com,16,1,46326810,1.8383,0.6476,https://static.semrush.com/power-pages/media/favicons/meteofrance-com-favicon-89d5a934.png
instagram.com,17,-1,45771437,3.5215,0.5661,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
doctolib.fr,18,0,43582857,4.836,0.4295,https://static.semrush.com/power-pages/media/favicons/doctolib-fr-favicon-31c15027.png
pinterest.fr,19,2,36887582,3.2723,0.5593,https://static.semrush.com/power-pages/media/favicons/pinterest-fr-favicon-642179a1.png
netflix.com,20,0,30689230,1.8576,0.6642,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico
