id,position,change,visits,pages_per_visit,bounce_rate,favicon
doubleclick.net,1,0,78836907,1.8654,0.7457,https://static.semrush.com/power-pages/media/favicons/doubleclick-net-favicon-bf09e67f.png
taboola.com,2,0,54754126,1.4289,0.7466,
criteo.com,3,0,27551376,1.475,0.7652,https://static.semrush.com/power-pages/media/favicons/criteo-com-favicon-000bf649.ico
googleusercontent.com,4,0,9040505,7.4987,0.3061,
linktr.ee,5,0,2657692,1.4864,0.7946,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png
popads.net,6,0,2401401,2.7096,0.5261,https://static.semrush.com/power-pages/media/favicons/popads-net-favicon-a3bf2561.ico
getresponse.com,7,1,1095995,1.9226,0.7857,https://static.semrush.com/power-pages/media/favicons/getresponse-com-favicon-34c4c40a.png
blogger.com,8,1,935551,3.3033,0.6287,
webinarjam.com,9,-2,839613,2.5367,0.3649,
fb.com,10,2,406123,1.406,0.791,https://static.semrush.com/power-pages/media/favicons/fb-com-favicon-d2850d31.ico
mailchimp.com,11,0,370458,3.4088,0.6068,https://static.semrush.com/power-pages/media/favicons/mailchimp-com-favicon-8969a0a6.ico
convertkit.com,12,-2,316465,1.9892,0.6846,
semrush.com,13,1,164733,3.8131,0.4481,https://static.semrush.com/power-pages/media/favicons/semrush-favicon-3cd418d5bb49.ico
ahrefs.com,14,5,128378,4.7705,0.3714,https://static.semrush.com/power-pages/media/favicons/ahrefs-com-favicon-3cced242.png
alexa.com,15,5,126009,2.0324,0.6111,https://static.semrush.com/power-pages/media/favicons/alexa-com-favicon-ed9bb105.png
nielsen.com,16,0,125701,4.3492,0.3425,https://static.semrush.com/power-pages/media/favicons/nielsen-com-favicon-f5db012c.png
constantcontact.com,17,0,119926,2.1021,0.4558,https://static.semrush.com/power-pages/media/favicons/constantcontact-com-favicon-2d66d02a.png
ai.marketing,18,-5,96109,6.1848,0.0435,https://static.semrush.com/power-pages/media/favicons/ai-marketing-favicon-d45e6db4.png
retailmenot.com,19,2,90339,1.3639,0.768,
exacttarget.com,20,-5,75663,2.2623,0.4597,https://static.semrush.com/power-pages/media/favicons/exacttarget-com-favicon-ccda8df0.ico
