id,position,change,visits,pages_per_visit,bounce_rate,favicon
google.com,1,0,931070948,5.0775,0.3759,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico
youtube.com,2,0,345869668,3.717,0.4785,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
facebook.com,3,1,325963427,5.2087,0.3713,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico
amazon.de,4,-1,321864240,6.3679,0.4049,https://static.semrush.com/power-pages/media/favicons/amazon-de-favicon-ca6619b8.ico
wikipedia.org,5,0,273261408,2.03,0.6737,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico
google.de,6,0,200655435,5.7598,0.3317,
bild.de,7,0,193152025,3.5301,0.2766,https://static.semrush.com/power-pages/media/favicons/bild-de-favicon-91724b11.png
ebay.de,8,0,146508011,5.8529,0.3408,https://static.semrush.com/power-pages/media/favicons/ebay-de-favicon-67c7209c.png
bit.ly,9,3,112985262,1.181,0.8905,https://static.semrush.com/power-pages/media/favicons/bit-ly-favicon-ce0260c1.ico
instagram.com,10,0,108688065,3.9974,0.5457,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
ebay-kleinanzeigen.de,11,0,107912772,9.18,0.3148,https://static.semrush.com/power-pages/media/favicons/ebay-kleinanzeigen-de-favicon-fdcd005a.png
t-online.de,12,-3,103241712,3.3261,0.4973,https://static.semrush.com/power-pages/media/favicons/t-online-de-favicon-f2628c9e.png
web.de,13,1,76099604,6.2508,0.2698,
dhl.de,14,1,75572124,2.2789,0.4172,https://static.semrush.com/power-pages/media/favicons/dhl-de-favicon-efc54628.png
spiegel.de,15,-2,75214773,2.7712,0.5103,
outbrain.com,16,0,70179150,1.4412,0.7591,https://static.semrush.com/power-pages/media/favicons/outbrain-com-favicon-ffc8e874.png
focus.de,17,0,67845907,1.982,0.6139,
doubleclick.net,18,7,62837596,1.8757,0.7481,https://static.semrush.com/power-pages/media/favicons/doubleclick-net-favicon-bf09e67f.png
twitch.tv,19,0,61809402,2.3778,0.559,https://static.semrush.com/power-pages/media/favicons/twitch-tv-favicon-d6025c14.png
otto.de,20,3,61808452,5.5448,0.4914,https://static.semrush.com/power-pages/media/favicons/otto-de-favicon-2d25d384.png
