id,position,change,visits,pages_per_visit,bounce_rate,favicon
netflix.com,1,0,40735907,1.8729,0.6769,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico
bing.com,2,0,25713902,3.8204,0.4957,
msn.com,3,0,14398710,2.0807,0.7059,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico
archiveofourown.org,4,0,11056645,7.3351,0.2975,https://static.semrush.com/power-pages/media/favicons/archiveofourown-org-favicon-36c35925.ico
spotify.com,5,0,10405822,2.7763,0.5536,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png
filmstarts.de,6,0,9305483,1.9328,0.728,https://static.semrush.com/power-pages/media/favicons/www-filmstarts-de-favicon-82a5860e.ico
disneyplus.com,7,0,8665116,2.1564,0.4776,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png
vimeo.com,8,2,4914411,3.1629,0.5748,https://static.semrush.com/power-pages/media/favicons/vimeo-com-favicon-c9d54cfe.png
dailymotion.com,9,0,4316184,2.3442,0.6361,
crunchyroll.com,10,-2,4282394,4.4318,0.3215,
discogs.com,11,1,3950864,8.6757,0.3759,https://static.semrush.com/power-pages/media/favicons/discogs-com-favicon-bcb37f5d.png
riotgames.com,12,8,3922105,1.5322,0.7948,
genius.com,13,-2,3686306,1.6837,0.7939,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico
wattpad.com,14,0,2379830,6.7028,0.4207,
myanimelist.net,15,0,2340253,5.9769,0.3916,https://static.semrush.com/power-pages/media/favicons/myanimelist-net-favicon-d7330877.ico
amazon.co.uk,16,-3,2292812,5.2145,0.4805,https://static.semrush.com/power-pages/media/favicons/amazon-co-uk-favicon-ca6619b8.ico
rottentomatoes.com,17,2,2117674,1.7655,0.761,https://static.semrush.com/power-pages/media/favicons/rottentomatoes-com-favicon-c1d0090d.jpg
mangakakalot.com,18,-1,1946497,6.4791,0.3427,https://static.semrush.com/power-pages/media/favicons/mangakakalot-com-favicon-ee8fcad9.ico
gamespot.com,19,-1,1896043,1.6407,0.7543,https://static.semrush.com/power-pages/media/favicons/gamespot-com-favicon-793fe1ee.png
xfinity.com,20,-4,1889543,1.1956,0.8892,https://static.semrush.com/power-pages/media/favicons/xfinity-com-favicon-25ce32d4.png
