id,position,change,visits,pages_per_visit,bounce_rate,favicon
immobilienscout24.de,1,0,33319208,5.2518,0.3524,https://static.semrush.com/power-pages/media/favicons/immobilienscout24-de-favicon-ff8875aa.ico
meinestadt.de,2,0,16313323,2.0577,0.6442,
immowelt.de,3,0,15132471,4.2454,0.4605,https://static.semrush.com/power-pages/media/favicons/immowelt-de-favicon-cc4b3b5e.png
craigslist.org,4,0,1742528,1.5488,0.8802,https://static.semrush.com/power-pages/media/favicons/craigslist-org-favicon-c30bf3a9.ico
zillow.com,5,0,1176916,1.458,0.8729,
idealista.pt,6,1,429308,6.4612,0.4295,
idealista.com,7,-1,423209,8.6626,0.3724,
otodom.pl,8,1,325973,7.7263,0.4236,https://static.semrush.com/power-pages/media/favicons/otodom-pl-favicon-863b2f51.png
immobiliare.it,9,2,279106,3.8931,0.4535,https://static.semrush.com/power-pages/media/favicons/immobiliare-it-favicon-a9367fd2.png
vrbo.com,10,0,277669,1.9627,0.7507,https://static.semrush.com/power-pages/media/favicons/vrbo-com-favicon-7947742b.png
leboncoin.fr,11,1,260680,4.5292,0.419,
funda.nl,12,-4,221368,15.4959,0.3211,https://static.semrush.com/power-pages/media/favicons/funda-nl-favicon-b28102b9.png
realtor.com,13,1,204843,2.3552,0.6842,https://static.semrush.com/power-pages/media/favicons/realtor-com-favicon-8d9897b2.png
rightmove.co.uk,14,-1,197210,6.923,0.3301,https://static.semrush.com/power-pages/media/favicons/rightmove-co-uk-favicon-90d305af.png
idealista.it,15,0,170933,6.3266,0.3727,
airbnb.co.uk,16,0,150703,2.6408,0.5549,https://static.semrush.com/power-pages/media/favicons/www-airbnb-co-uk-favicon-31ed5c40.png
blocket.se,17,2,133566,3.3901,0.5436,https://static.semrush.com/power-pages/media/favicons/blocket-se-favicon-03076b37.png
zoopla.co.uk,18,0,125057,4.2042,0.4593,https://static.semrush.com/power-pages/media/favicons/zoopla-co-uk-favicon-bb48e93e.png
trulia.com,19,-2,115541,4.5583,0.7486,https://static.semrush.com/power-pages/media/favicons/trulia-com-favicon-3daf3d09.png
seloger.com,20,2,89798,7.2156,0.2605,
