id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
walmart.com,1,1,582745520,2.8663,0.5154,https://static.semrush.com/power-pages/media/favicons/walmart-com-favicon-6620b913.ico,Walmart
ebay.com,2,1,572576598,5.5851,0.4413,https://static.semrush.com/power-pages/media/favicons/ebay-com-favicon-67c7209c.png,eBay
mangakakalot.com,3,-2,533912038,4.6911,0.4078,https://static.semrush.com/power-pages/media/favicons/mangakakalot-com-favicon-ee8fcad9.ico,MangaKakalot
etsy.com,4,1,435512991,3.8401,0.4972,https://static.semrush.com/power-pages/media/favicons/etsy-com-favicon-334646ad.ico,Etsy
aliexpress.com,5,-1,430348775,4.1441,0.5389,,AliExpress
amazon.de,6,2,322431678,4.9512,0.4593,https://static.semrush.com/power-pages/media/favicons/amazon-de-favicon-ca6619b8.ico,Mondkalender 2022
samsung.com,7,-1,295307346,2.6193,0.5794,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
amazon.co.uk,8,2,257151374,5.0883,0.4604,https://static.semrush.com/power-pages/media/favicons/amazon-co-uk-favicon-ca6619b8.ico,Amazon UK
avito.ru,9,-2,247060214,4.2789,0.523,https://static.semrush.com/power-pages/media/favicons/avito-ru-favicon-cd259c29.png,Avito
amazon.in,10,1,241098510,5.3711,0.4078,https://static.semrush.com/power-pages/media/favicons/amazon-in-favicon-f2391664.jpg,Amazon India
homedepot.com,11,6,211548975,3.1252,0.4776,,The Home Depot
shein.com,12,6,210437340,4.557,0.4952,https://static.semrush.com/power-pages/media/favicons/shein-com-favicon-47ceee2d.png,SHEIN
ikea.com,13,2,198088874,4.5281,0.41,,IKEA
ozon.ru,14,-1,194470914,4.5426,0.5047,,OZON
target.com,15,4,189558543,2.5536,0.5289,,Target
allegro.pl,16,7,180233157,4.7367,0.4743,,Allegro
goodreads.com,17,-3,175563298,3.095,0.5602,https://static.semrush.com/power-pages/media/favicons/goodreads-com-favicon-d409fae1.png,Goodreads
amazon.fr,18,3,169343098,4.9027,0.4614,https://static.semrush.com/power-pages/media/favicons/amazon-fr-favicon-ca6619b8.ico,Amazon France
amazon.es,19,3,167178626,3.7355,0.4965,https://static.semrush.com/power-pages/media/favicons/amazon-es-favicon-ca6619b8.ico,Amazon Spain
bestbuy.com,20,0,158576468,3.4164,0.4783,,Best Buy
