id,position,change,visits,pages_per_visit,bounce_rate,favicon
youtube.com,1,0,13921810749,3.7188,0.4872,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
facebook.com,2,0,11815254510,6.0648,0.3584,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico
instagram.com,3,0,3024036948,4.9268,0.5056,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
pornhub.com,4,0,2306951404,8.3467,0.2421,https://static.semrush.com/power-pages/media/favicons/pornhub-com-favicon-bf5b6c80.ico
fandom.com,5,0,1276128436,3.0923,0.5655,https://static.semrush.com/power-pages/media/favicons/fandom-com-favicon-333b1223.png
twitch.tv,6,0,1194357797,2.3502,0.5702,https://static.semrush.com/power-pages/media/favicons/twitch-tv-favicon-d6025c14.png
netflix.com,7,0,1130811947,2.0213,0.6508,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico
espn.com,8,0,702829395,3.5072,0.4431,https://static.semrush.com/power-pages/media/favicons/espn-com-favicon-bb60826b.png
imdb.com,9,0,644187513,3.9121,0.4636,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png
bbc.co.uk,10,0,598062229,3.6552,0.4636,https://static.semrush.com/power-pages/media/favicons/bbc-co-uk-favicon-4f3b9e56.ico
tiktok.com,11,1,584421430,2.6757,0.4969,https://static.semrush.com/power-pages/media/favicons/tiktok-com-favicon-3776ce2f.png
foxnews.com,12,-1,507168842,3.2018,0.482,https://static.semrush.com/power-pages/media/favicons/foxnews-com-favicon-bfeed514.png
bbc.com,13,0,445627559,2.4958,0.5831,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg
booking.com,14,0,440587038,5.5794,0.3888,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico
onlyfans.com,15,1,338236618,3.6408,0.5433,https://static.semrush.com/power-pages/media/favicons/onlyfans-com-favicon-8bf4c5c2.png
wp.pl,16,-1,326121232,3.9917,0.2693,https://static.semrush.com/power-pages/media/favicons/wp-pl-favicon-90cf5555.ico
discord.com,17,0,291001931,1.923,0.5757,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico
imgur.com,18,0,262046865,3.0437,0.5006,https://static.semrush.com/power-pages/media/favicons/imgur-com-favicon-c0c62393.png
spotify.com,19,0,261765183,2.7936,0.5269,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png
syosetu.com,20,0,242854220,10.9267,0.2053,https://static.semrush.com/power-pages/media/favicons/syosetu-com-favicon-3211534f.png
