id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
bing.com,1,0,1962692107,2.9925,0.5003,,Bing
animeflv.net,2,1,1439361565,3.5735,0.4097,https://static.semrush.com/power-pages/media/favicons/animeflv-net-favicon-388b6463.ico,AnimeFLV
archiveofourown.org,3,-1,1175038133,6.3732,0.3124,https://static.semrush.com/power-pages/media/favicons/archiveofourown-org-favicon-36c35925.ico,Archive of Our Own
mangafreak.net,4,3,859596579,6.4929,0.3366,,
lectormanga.com,5,10,855921264,2.9313,0.4595,,
netflix.com,6,-2,853633377,1.9004,0.6497,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico,Netflix
mangakakalot.com,7,2,743518673,5.1581,0.3806,https://static.semrush.com/power-pages/media/favicons/mangakakalot-com-favicon-ee8fcad9.ico,MangaKakalot
animedao.to,8,5,630904956,3.7451,0.3031,,
zoro.to,9,10,513863546,2.559,0.5814,,
manganelo.com,10,-4,504238440,2.4799,0.4253,https://static.semrush.com/power-pages/media/favicons/manganelo-com-favicon-353230b1.png,Manganelo
wattpad.com,11,5,496979791,2.7371,0.5186,,Wattpad
novelupdates.com,12,0,465135992,4.1779,0.3609,,Novel Updates
jkanime.net,13,8,463991296,3.473,0.3902,,
dailymotion.com,14,-3,460585045,1.7531,0.6915,,Dailymotion
spotify.com,15,-10,422376193,2.1113,0.6155,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
mangasee123.com,16,0,399422441,2.783,0.4812,,
webnovel.com,17,0,397259447,2.4873,0.5529,,
rezka.ag,18,-10,382497426,2.5375,0.5374,,
jut.su,19,-9,362327567,4.072,0.3377,,
swatchseries.ru,20,0,332979754,2.1052,0.6024,,
