id,position,change,visits,pages_per_visit,bounce_rate,favicon
healthline.com,1,0,378895312,1.7279,0.7647,
nih.gov,2,0,304971700,2.0635,0.7041,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico
webmd.com,3,0,242194657,1.5164,0.7394,
mayoclinic.org,4,0,219738961,1.3745,0.8174,
medicalnewstoday.com,5,0,127754312,1.2494,0.8469,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png
kp.ru,6,0,102256630,1.5974,0.7266,https://static.semrush.com/power-pages/media/favicons/kp-ru-favicon-ad2c99f3.png
cdc.gov,7,0,102143980,1.8253,0.7137,https://static.semrush.com/power-pages/media/favicons/cdc-gov-favicon-8f23f529.ico
www.nhs.uk,8,0,94352695,1.8674,0.7364,https://static.semrush.com/power-pages/media/favicons/www-nhs-uk-favicon-43924bfe.png
medlineplus.gov,9,0,85747494,1.2699,0.8436,
harvard.edu,10,0,65079883,2.0821,0.7207,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg
drugs.com,11,0,61550758,1.6966,0.7415,https://static.semrush.com/power-pages/media/favicons/drugs-com-favicon-27cb02f1.png
aarp.org,12,1,52145487,3.0594,0.5155,https://static.semrush.com/power-pages/media/favicons/www-aarp-org-favicon-0378cc7a.png
verywellhealth.com,13,-1,51500928,1.2817,0.848,https://static.semrush.com/power-pages/media/favicons/www-verywellhealth-com-favicon-24415865.png
clevelandclinic.org,14,0,51010851,1.7364,0.7916,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png
msdmanuals.com,15,1,42638685,1.3652,0.8,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico
babycenter.com,16,1,39061141,2.2824,0.6802,https://static.semrush.com/power-pages/media/favicons/www-babycenter-com-favicon-ec1d7388.png
doctolib.fr,17,1,34238260,4.3953,0.4468,https://static.semrush.com/power-pages/media/favicons/doctolib-fr-favicon-31c15027.png
medscape.com,18,2,32214580,2.208,0.616,https://static.semrush.com/power-pages/media/favicons/medscape-com-favicon-d7be632c.ico
my-personaltrainer.it,19,7,32213054,1.5348,0.7433,https://static.semrush.com/power-pages/media/favicons/my-personaltrainer-it-favicon-bbeb14b9.png
facty.com,20,-5,32073933,3.2438,0.5864,https://static.semrush.com/power-pages/media/favicons/facty-com-favicon-4ea261cb.png
