id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
healthline.com,1,0,387170864,1.7881,0.6679,,Healthline Media
nih.gov,2,0,238670649,1.8308,0.7292,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
mayoclinic.org,3,1,193256532,1.3533,0.7918,,Mayo Clinic
webmd.com,4,-1,183573280,1.6742,0.6896,,WebMD
medicalnewstoday.com,5,0,137601940,1.5124,0.7091,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
cdc.gov,6,0,107521727,1.6009,0.7185,https://static.semrush.com/power-pages/media/favicons/cdc-gov-favicon-8f23f529.ico,
clevelandclinic.org,7,2,78915005,1.3735,0.8288,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png,Cleveland Clinic
www.nhs.uk,8,0,76178797,1.6693,0.7525,https://static.semrush.com/power-pages/media/favicons/www-nhs-uk-favicon-43924bfe.png,
kp.ru,9,-2,63690606,1.7305,0.7433,https://static.semrush.com/power-pages/media/favicons/kp-ru-favicon-ad2c99f3.png,
medlineplus.gov,10,0,62900511,1.2211,0.8585,,MedinePlus
verywellhealth.com,11,0,51009564,1.2139,0.8432,https://static.semrush.com/power-pages/media/favicons/www-verywellhealth-com-favicon-24415865.png,Verywell Health
tuasaude.com,12,7,50266316,1.2861,0.7998,https://static.semrush.com/power-pages/media/favicons/tuasaude-com-favicon-ba5118b9.ico,Tua Saúde
msdmanuals.com,13,1,44136373,1.4522,0.7488,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
harvard.edu,14,-2,42885053,2.0555,0.7058,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg,Harvard University
babycenter.com,15,-2,41794511,3.6169,0.434,https://static.semrush.com/power-pages/media/favicons/www-babycenter-com-favicon-ec1d7388.png,BabyCenter
drugs.com,16,-1,40598258,1.8374,0.6424,https://static.semrush.com/power-pages/media/favicons/drugs-com-favicon-27cb02f1.png,Drugs.com
medscape.com,17,0,38939057,3.204,0.586,https://static.semrush.com/power-pages/media/favicons/medscape-com-favicon-d7be632c.ico,Medscape
ameli.fr,18,0,37039753,3.2476,0.5282,https://static.semrush.com/power-pages/media/favicons/ameli-fr-favicon-64939eca.ico,L’Assurance Maladie
verywellmind.com,19,1,34829339,1.3184,0.8177,https://static.semrush.com/power-pages/media/favicons/www-verywellmind-com-favicon-517d3433.png,Verywell Mind
abczdrowie.pl,20,-3,34823751,1.3837,0.8287,,
