id,position,change,visits,pages_per_visit,bounce_rate,favicon
espn.com,1,0,681695373,3.5805,0.4447,https://static.semrush.com/power-pages/media/favicons/espn-com-favicon-bb60826b.png
marca.com,2,0,188669732,3.2444,0.4957,https://static.semrush.com/power-pages/media/favicons/marca-com-favicon-f2625cd3.png
nfl.com,3,3,135361232,3.4695,0.4517,
as.com,4,0,129013832,2.6727,0.5401,
bet365.com,5,0,117958130,4.949,0.57,
247sports.com,6,4,117409488,3.3774,0.5438,
chess.com,7,1,115181486,5.4795,0.2585,https://static.semrush.com/power-pages/media/favicons/chess-com-favicon-0a31d2ed.png
cricbuzz.com,8,-5,110621366,6.1332,0.2969,https://static.semrush.com/power-pages/media/favicons/cricbuzz-com-favicon-5a4ece68.png
cbssports.com,9,0,109933930,2.9264,0.5546,https://static.semrush.com/power-pages/media/favicons/cbssports-com-favicon-2fff8671.png
espncricinfo.com,10,-3,105054409,3.7815,0.4148,https://static.semrush.com/power-pages/media/favicons/espncricinfo-com-favicon-793f565b.png
racingnews365.nl,11,7,93857985,2.0658,0.6398,https://static.semrush.com/power-pages/media/favicons/racingnews365-nl-favicon-a75742f9.png
newsnow.co.uk,12,0,86694095,7.8732,0.2069,https://static.semrush.com/power-pages/media/favicons/newsnow-co-uk-favicon-32912c41.png
nba.com,13,-2,72650765,3.1127,0.447,https://static.semrush.com/power-pages/media/favicons/nba-com-favicon-3c2b1489.jpg
rivals.com,14,8,71150232,6.0757,0.3823,https://static.semrush.com/power-pages/media/favicons/rivals-com-favicon-4ae42c02.png
skysports.com,15,-1,68272959,2.7755,0.4998,https://static.semrush.com/power-pages/media/favicons/skysports-com-favicon-fdabf9ae.png
gazzetta.it,16,-1,67093586,3.469,0.4629,https://static.semrush.com/power-pages/media/favicons/gazzetta-it-favicon-b28bf19d.ico
mundodeportivo.com,17,-4,66289209,2.9991,0.5458,https://static.semrush.com/power-pages/media/favicons/mundodeportivo-com-favicon-549d5612.png
gpblog.com,18,9,65679760,1.767,0.7163,https://static.semrush.com/power-pages/media/favicons/gpblog-com-favicon-7d515c9f.png
nbcsports.com,19,0,64597205,1.949,0.6456,https://static.semrush.com/power-pages/media/favicons/nbcsports-com-favicon-d52ccf19.png
goal.com,20,-4,64039187,2.4706,0.5843,https://static.semrush.com/power-pages/media/favicons/goal-com-favicon-f02a1ed1.png
