id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,345954412,2.8016,0.5678,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
google.com,2,0,332183595,3.5044,0.4428,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
skroutz.gr,3,0,68820517,4.2361,0.3646,https://static.semrush.com/power-pages/media/favicons/skroutz-gr-favicon-cb19e9ef.png,Skroutz.gr
facebook.com,4,0,64883328,3.1086,0.449,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
protothema.gr,5,0,47373641,3.1612,0.3921,https://static.semrush.com/power-pages/media/favicons/protothema-gr-favicon-076645da.png,ProtoThema
google.gr,6,0,44437683,3.4751,0.4299,,Google Greece
wikipedia.org,7,0,42759291,2.0277,0.6308,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
blogspot.com,8,0,37144837,2.4358,0.6231,,Blogspot
pornhub.com,9,0,34864554,6.8964,0.2242,https://static.semrush.com/power-pages/media/favicons/pornhub-com-favicon-bf5b6c80.ico,Pornhub
gsis.gr,10,0,33969321,2.6094,0.1808,,
newsit.gr,11,0,26718927,3.8902,0.3488,https://static.semrush.com/power-pages/media/favicons/newsit-gr-favicon-69b994eb.png,
gazzetta.gr,12,4,25884969,3.6539,0.4176,https://static.semrush.com/power-pages/media/favicons/gazzetta-gr-favicon-613f8a63.png,
twitter.com,13,-1,25853767,1.5039,0.7803,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
sdna.gr,14,1,23935371,3.573,0.344,https://static.semrush.com/power-pages/media/favicons/www-sdna-gr-favicon-2b6fc289.png,SDNA
pronews.gr,15,-1,23331614,3.8262,0.2752,,Pronews
in.gr,16,1,22621171,3.2823,0.4734,,
sport24.gr,17,2,22072040,3.6406,0.406,https://static.semrush.com/power-pages/media/favicons/www-sport24-gr-favicon-171f019d.png,Sport24
instagram.com,18,0,22041835,2.5355,0.6115,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
xvideos.com,19,3,20289332,7.2281,0.2558,,Xvideos
stoiximan.gr,20,3,19726166,2.1753,0.6163,,Stoiximan
